total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 17:57:47.453553,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 17:57:47.480841,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 17:57:47.513352,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 17:57:47.550879,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 17:57:47.589696,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 17:57:47.630590,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 17:57:47.672693,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 17:57:47.713933,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 17:57:47.754530,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 17:57:47.807134,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 17:57:47.889433,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,1,1,-0.8487281,0.23459762414714813,6.972974015315514,130.2365812859769,17.20840041496281,-0.15240598120326995,0.0764277960163498
12,1,1,2023-09-28 17:57:47.928179,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,0.8077521920204163,1,-0.8467869,0.23199385204336165,6.978007974716167,129.36640064889144,17.09227217913393,-0.1523481196009636,0.07613848800481796
13,1,2,2023-09-28 17:57:47.970023,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,0.6796470284461975,0.8938522934913635,-0.63475466,0.1051064012395233,7.223323712936922,86.9606145902487,11.433091873282741,-0.1495283984719894,0.062039882359947035
14,1,3,2023-09-28 17:57:48.012302,[0.04276526 0.6446786  0.26343775],-6.0,10.0,0.6903383433818817,0.9597117304801941,-0.473585,0.05441030517130563,7.321336165335476,70.01797928425036,9.172045988640233,-0.14840181855936235,0.05640698279681174
15,1,4,2023-09-28 17:57:48.054016,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,0.622393399477005,1,-0.708508,0.1681001172008228,7.10153586207841,108.013114464515,14.2426116051567,-0.15092825882668495,0.06903918413342476
16,1,5,2023-09-28 17:57:48.094936,[0.06858599 0.09552944 0.10823774],-6.0,10.0,0.639539897441864,1,-0.6846256,0.157507360601635,7.122015191503506,104.47301520906642,13.770174660832923,-0.1506928642355919,0.06786221117795946
17,1,6,2023-09-28 17:57:48.146326,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,0.43047136068344116,1,-0.68188035,0.15439037194272992,7.128041369577389,103.43131759926035,13.631156966645758,-0.15062359782094956,0.06751587910474777
18,1,7,2023-09-28 17:57:48.188010,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,0.438680499792099,1,-0.8611849,0.235151297265501,6.971903580620031,130.42161884213044,17.233094236041346,-0.15241828505034447,0.07648931525172234
19,1,8,2023-09-28 17:57:48.228814,[-0.9351763  -0.44067895 -0.9827307 ],-6.0,10.0,0.20488642156124115,0.7543173283338547,-0.9713546,0.17523327210442635,7.087745095931442,110.3970148332993,14.560750313857417,-0.15108677338009838,0.06983175690049181
20,1,9,2023-09-28 17:57:48.269748,[ 0.38303447 -0.08632374 -0.25330317],-6.0,10.0,0.30064503848552704,0.690991535782814,-0.99293554,0.15512529898832422,7.1266205106225735,103.67693021789796,13.66393471287926,-0.15063992953307387,0.06759753766536936
21,1,10,2023-09-28 17:57:48.311167,[-0.9648841  -0.27547407 -0.78352046],-6.0,10.0,0.059424012899398804,0.495111420750618,-1,0.06700492545387268,7.296986566122513,74.22710138268425,9.733766053242723,-0.14868169901008607,0.0578063850504303
22,1,11,2023-09-28 17:57:48.362917,[-0.47978973 -0.33907378  0.22722316],-6.0,10.0,-0.060523420572280884,0.5519172102212906,-1,0.09148800381443023,7.249652614625435,82.4093461707826,10.82571134812359,-0.14922576741809845,0.060526727090492255
24,2,0,2023-09-28 17:57:48.446063,[ 0.00617945  0.31265342 -0.25184572],-6.0,10.0,0.031924807,0.9370385706424713,-0.5592849,0.0797894894698748,7.272269742358242,78.49970267683217,10.303957608356418,-0.1489658004326639,0.05922689216331943
25,2,1,2023-09-28 17:57:48.487329,[ 0.75891256  0.32826173 -0.58524835],-6.0,10.0,0.22165295,0.7907264828681946,-0.4772195,0.015472387372850283,7.396616139745823,57.004927156006566,7.435414854829123,-0.14753653149717447,0.05208054748587226
26,2,2,2023-09-28 17:57:48.528157,[0.13741255 0.45398378 0.6206368 ],-6.0,10.0,0.2560061,0.9458856880664825,-0.36372355,0.0007924283983430092,7.424997393763204,52.09888486672624,6.780688684566099,-0.14721031018662986,0.05044944093314922
27,2,3,2023-09-28 17:57:48.570613,[-0.10788506 -0.5554985   0.3316579 ],-6.0,10.0,0.22903483,1,-0.50259817,0.07190045834502698,7.287521869199614,75.86318847490803,9.952106820188206,-0.1487904886298895,0.058350333149447445
28,2,4,2023-09-28 17:57:48.612934,[ 0.50991964 -0.07907093 -0.52664244],-6.0,10.0,0.35651475,0.8683393895626068,-0.5223659,0.050994512620021804,7.3279400309346245,68.8764214136113,9.019701640852974,-0.1483259120582227,0.05602745029111354
29,2,5,2023-09-28 17:57:48.653477,[0.27984643 0.40241313 0.882437  ],-6.0,10.0,0.42647636,1,-0.42176265,0.03730144759437559,7.354413289984207,64.30019908204034,8.408990940709154,-0.14802162172431946,0.054505998621597294
30,2,6,2023-09-28 17:57:48.704836,[ 0.9667212 -0.3656807  0.7442143],-6.0,10.0,0.6681566,1,-0.5131828,0.08061564811489105,7.270672502311211,78.7758048959966,10.340804283924143,-0.14898415951366425,0.05931868756832123
31,2,7,2023-09-28 17:57:48.746105,[0.34072173 0.9225621  0.15049005],-6.0,10.0,0.753337,1,-0.2825423,-0.022405967032699592,7.469847624929886,44.3459811136718,5.746040248341599,-0.14669479028816224,0.047871841440811164
32,2,8,2023-09-28 17:57:48.786326,[ 0.6797209  -0.01501292 -0.29869545],-6.0,10.0,0.92326725,0.9253261387348175,-0.28629553,-0.028808091677753556,7.482225065910324,42.20639105729476,5.460505489172191,-0.14655252085160547,0.04716049425802739
33,2,9,2023-09-28 17:57:48.827349,[ 0.7723155  -0.5282244  -0.30293208],-6.0,10.0,1,0.8495931178331375,-0.41835165,0.01261287729436747,7.4021445258975564,56.04927888777761,7.30788070532879,-0.14747298682876372,0.05176282414381861
