total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 17:56:05.288829,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 17:56:05.304016,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 17:56:05.320439,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 17:56:05.338533,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 17:56:05.361614,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 17:56:05.392356,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 17:56:05.425502,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 17:56:05.450232,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 17:56:05.474664,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 17:56:05.501615,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 17:56:05.560525,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,0.0075975433,1,-0.4389553,0.04126823604276894,7.346744165650647,65.62589978149339,8.585909705507497,-0.1481097725787282,0.054946752893640996
12,1,1,2023-09-28 17:56:05.585327,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,-0.18465027,1,-0.4370141,0.038664463871927235,7.351778125180941,64.7557191219981,8.469781466687957,-0.14805191097493173,0.05465744487465859
13,1,2,2023-09-28 17:56:05.611539,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,-0.31275544,0.8938522934913635,-0.22498184,-0.06864958698632413,7.559251956840226,28.89136332517048,3.6835747984099445,-0.1456671542891928,0.04273366144596399
14,1,3,2023-09-28 17:56:05.638248,[0.04276526 0.6446786  0.26343775],-6.0,10.0,-0.30206412,0.9597117304801941,-0.063812196,-0.1314900161049095,7.6807434531361585,7.890091913739245,0.8808916597210364,-0.14427070030877978,0.03575139154389895
15,1,4,2023-09-28 17:56:05.662656,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,-0.37000906,1,-0.2987352,-0.02522927097061159,7.475306012543182,43.40243293762161,5.620120892710724,-0.1466320502006531,0.047558141003265386
16,1,5,2023-09-28 17:56:05.687336,[0.06858599 0.09552944 0.10823774],-6.0,10.0,-0.35286257,1,-0.27485284,-0.035822014158754356,7.4957853160402586,39.8623381641443,5.147684546519557,-0.14639665590758325,0.046381169537916184
17,1,6,2023-09-28 17:56:05.712542,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,-0.56193113,1,-0.27210754,-0.03893901649692537,7.5018115205607225,38.820635982727545,5.008666242237129,-0.1463273891889572,0.04603483594478607
18,1,7,2023-09-28 17:56:05.749204,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,-0.553722,1,-0.45141208,0.0418219085576248,7.345673732121925,65.81093713595821,8.610603499670068,-0.14812207641239167,0.05500827206195832
19,1,8,2023-09-28 17:56:05.778113,[-0.9351763  -0.44067895 -0.9827307 ],-6.0,10.0,-0.7875161,0.7543173283338547,-0.56158185,0.027207239293499302,7.373928759365901,60.926714667887474,7.95878925049007,-0.1477973059843,0.05338441992149993
20,1,9,2023-09-28 17:56:05.804072,[ 0.38303447 -0.08632374 -0.25330317],-6.0,10.0,-0.6917575,0.690991535782814,-0.5831628,0.018776399155083057,7.390228383633506,58.10912789362876,7.582773780316705,-0.14760995398122406,0.05244765990612034
21,1,10,2023-09-28 17:56:05.832171,[-0.9648841  -0.27547407 -0.78352046],-6.0,10.0,-0.9329785,0.495111420750618,-0.6520313,-0.019454171558791672,7.464140820346997,45.33247116105183,5.877690326477892,-0.14676038574313796,0.04819981871568982
22,1,11,2023-09-28 17:56:05.862947,[-0.47978973 -0.33907378  0.22722316],-6.0,10.0,-1,0.5519172102212906,-0.7367997,0.01766356992176285,7.392379853484592,57.73722036385315,7.533141596510624,-0.14758522444270586,0.05232401221352921
23,1,12,2023-09-28 17:56:05.888143,[ 0.42552805 -0.49307895  0.1702429 ],-6.0,10.0,-0.8936179876327515,0.5944779366254807,-0.86006945,0.06570894950124101,7.299492119630934,73.79398621931475,9.67596552575535,-0.14865289954447203,0.05766238772236011
24,1,13,2023-09-28 17:56:05.913004,[-0.14079797  0.1062125  -0.42160738],-6.0,10.0,-0.928817480802536,0.48907609283924103,-0.83351636,0.01875442862502366,7.390270859991621,58.10178534248291,7.581793894676056,-0.14760946574722275,0.05244521873611374
25,1,14,2023-09-28 17:56:05.941144,[ 0.61215556  0.12213039 -0.75475544],-6.0,10.0,-0.775778591632843,0.3003872334957123,-0.80298376,-0.054769305618222144,7.53241674619523,33.53015335839016,4.302635347427293,-0.14597560498626175,0.044275914931308655
26,1,15,2023-09-28 17:56:05.968688,[-0.00912422  0.24816167  0.45138407],-6.0,10.0,-0.778059646487236,0.4132332503795624,-0.7409433,-0.025550480774310713,7.4759270181636674,43.295084621225364,5.6057949354657435,-0.14662491220501533,0.047522451025076594
27,1,16,2023-09-28 17:56:05.997655,[-0.254202   -0.76101184  0.16265893],-6.0,10.0,-0.8416101485490799,0.45389798283576965,-0.9311963,0.0262961280075307,7.375690241185441,60.62222127611676,7.918153687135869,-0.14777705906683403,0.05328318533417008
28,1,17,2023-09-28 17:56:06.019797,[ 0.3638221  -0.284276   -0.69538784],-6.0,10.0,-0.7506546229124069,0.28005102276802063,-1,-0.03706296136060239,7.498184480630498,39.447613609286684,5.092338301317135,-0.14636907930309773,0.04624328651548863
29,1,18,2023-09-28 17:56:06.050391,[0.133968   0.19751585 0.7139447 ],-6.0,10.0,-0.717162624001503,0.45853719115257263,-0.9506210386753082,0.03336830180010908,7.362017371853122,62.98574175759646,8.233572638284867,-0.14793421848444688,0.054068982422234346
30,1,19,2023-09-28 17:56:06.080864,[ 0.8210616 -0.5702706  0.5759747],-6.0,10.0,-0.5118972212076187,0.6025308668613434,-1,0.11020178509673595,7.213472637479644,88.66349187532916,11.660345993314426,-0.1496416292243719,0.06260603612185955
31,1,20,2023-09-28 17:56:06.106835,[ 0.19528067  0.7182791  -0.01749718],-6.0,10.0,-0.46307705342769623,0.5981565713882446,-0.8204302191734314,0.060337853652989326,7.3098762382708875,71.99896598682905,9.436414650923325,-0.14853354185895531,0.0570655992947766
32,1,21,2023-09-28 17:56:06.132701,[ 0.5344981  -0.21898955 -0.46643066],-6.0,10.0,-0.3294525295495987,0.48154890537261963,-0.8751776069402695,0.030353265616975572,7.36784644180718,61.97811666519324,8.099102024517112,-0.14786721768037725,0.05373397840188618
33,1,22,2023-09-28 17:56:06.159577,[ 0.6273105 -0.7318951 -0.4704157],-6.0,10.0,-0.17262490093708038,0.36394497752189636,-1,0.005891585776419628,7.415139022832255,53.80302326247944,7.008111103628316,-0.14732362479503155,0.051016013975157745
34,1,23,2023-09-28 17:56:06.190308,[-1.         -1.         -0.41917866],-6.0,10.0,-0.4226249009370804,0.25915031135082245,-1,-0.043516014000563624,7.51066038240109,37.29100341701164,4.804532153574863,-0.14622567813332082,0.045526280666604045
35,1,24,2023-09-28 17:56:06.216309,[-0.89820814  0.16104913 -1.        ],-6.0,10.0,-0.6471769362688065,0.009150311350822449,-0.9597377181053162,-0.1582027679053131,7.732388106616939,-1.037309737955631,-0.31049707057696335,-0.14367708360210416,0.03278330801052077
36,1,25,2023-09-28 17:56:06.241291,[0.35785484 0.30910063 0.66251564],-6.0,10.0,-0.5577132254838943,0.17477922141551971,-0.8824625611305237,-0.09194319531612277,7.604286266277837,21.106639421351773,2.6446798669009253,-0.14514951854853061,0.04014548274265303
37,1,26,2023-09-28 17:56:06.269036,[ 0.11438668 -0.02666414  0.32004273],-6.0,10.0,-0.5291165560483932,0.25478990375995636,-0.8891285955905914,-0.05914863381909717,7.540883447383588,32.066581873657725,4.107317309668267,-0.14587828658179786,0.04378932290898921
38,1,27,2023-09-28 17:56:06.298008,[ 0.32383907  0.31185675 -0.5980678 ],-6.0,10.0,-0.44815678894519806,0.10527294874191284,-0.8111644089221954,-0.12193628994172814,7.662272915887341,11.082947197474455,1.306987846598925,-0.14448300533462827,0.03681291667314132
39,1,28,2023-09-28 17:56:06.324084,[0.4994681  0.50587416 0.24271858],-6.0,10.0,-0.32328976690769196,0.16595259308815002,-0.6846958696842194,-0.10810746312929023,7.635537184049961,15.70454111819121,1.9237535224336568,-0.14479031259712688,0.03834945298563442
40,1,29,2023-09-28 17:56:06.349160,[-0.24459815 -0.16381979  0.16725302],-6.0,10.0,-0.38443930447101593,0.2077658474445343,-0.725650817155838,-0.09194552810139849,7.60429077632937,21.105859804512633,2.6445758246776285,-0.1451494667088578,0.04014522354428906
41,1,30,2023-09-28 17:56:06.378903,[ 0.295411   -0.78174245 -0.4643426 ],-6.0,10.0,-0.3105865567922592,0.09168019890785217,-0.9210864305496216,-0.12112488478727955,7.660704199255408,11.354118800091177,1.3431765164873326,-0.14450103656028268,0.03690307280141339
42,1,31,2023-09-28 17:56:06.408704,[-0.84402937  0.04325557 -1.        ],-6.0,10.0,-0.5215938985347748,-0.15831980109214783,-0.9102725386619568,-0.22587575035408544,7.863222539351232,-23.653620472335348,-3.3287120877922103,-0.14217323954768699,0.025264087738434957
43,1,32,2023-09-28 17:56:06.433004,[-0.6351553  -0.65532434 -0.49089563],-6.0,10.0,-0.6803827285766602,-0.2810437083244324,-1,-0.2889231433031845,7.98511416571949,-44.72405919592427,-6.14062581332203,-0.14077218637104036,0.018258821855201723
44,1,33,2023-09-28 17:56:06.458052,[-0.24884522 -0.93189776  0.45402503],-6.0,10.0,-0.7425940334796906,-0.16753745079040527,-1,-0.2384052291569996,7.887446198370199,-27.840972288269263,-3.887526842402182,-0.14189480668540003,0.02387192342700005
45,1,34,2023-09-28 17:56:06.487377,[-0.6358119   0.4284444   0.53626776],-6.0,10.0,-0.9015470147132874,-0.0334705114364624,-0.8928889036178589,-0.17789240484943397,7.770454738042239,-7.617586404680827,-1.1886548782847544,-0.14323953611445703,0.030595570572285118
46,1,35,2023-09-28 17:56:06.517455,[-0.66401756 -0.73017085 -0.14558792],-6.0,10.0,-1,-0.06986749172210693,-1,-0.19677040127494813,7.806952197798233,-13.926612810087663,-2.0306135188626864,-0.14282002508277894,0.028498015413894656
47,1,36,2023-09-28 17:56:06.543658,[-0.5925916 -1.        -0.839137 ],-6.0,10.0,-1,-0.2796517461538315,-1,-0.2911733157692242,7.989464499153834,-45.47606683407472,-6.2409835053073985,-0.1407221825384617,0.018008802692308427
48,1,37,2023-09-28 17:56:06.567491,[-0.92472804 -0.60535085  0.3515271 ],-6.0,10.0,-1,-0.19176997244358063,-1,-0.2516265175996113,7.913007356025915,-32.259526885790095,-4.477196306942664,-0.1416010002755642,0.02240289137782097
49,1,38,2023-09-28 17:56:06.596524,[-0.32726276 -1.          0.09211981],-6.0,10.0,-1,-0.16874001920223236,-1,-0.24126303864100457,7.892971296705943,-28.796052217823725,-4.014985145388804,-0.14183129980797768,0.023554389039888383
50,1,39,2023-09-28 17:56:06.627007,[ 0.5578573   0.32169425 -0.5857213 ],-6.0,10.0,-0.8605356812477112,-0.3151703476905823,-0.9195764362812042,-0.2944953024490956,7.995887006734918,-46.58627478248774,-6.389144111229664,-0.1406483606122423,0.017639693061211603
51,1,40,2023-09-28 17:56:06.652721,[-0.56162566  0.4858476  -0.7113733 ],-6.0,10.0,-1,-0.4930136799812317,-0.798114538192749,-0.34239665348441783,8.088496285403208,-62.59490629849244,-8.525544367405034,-0.13958388614479073,0.012317320723953577
52,1,41,2023-09-28 17:56:06.677272,[0.0376476  0.47198188 0.28013277],-6.0,10.0,-0.9905880987644196,-0.42298048734664917,-0.6801190674304962,-0.2947000154568547,7.996282785216586,-46.654689869680844,-6.398274311375721,-0.1406438114342921,0.01761694717146059
53,1,42,2023-09-28 17:56:06.700414,[ 0.69431555  0.3511542  -0.0249685 ],-6.0,10.0,-0.8170092105865479,-0.42922261357307434,-0.5923305153846741,-0.2780918562559021,7.964173677428078,-41.10424306472248,-5.657550411013234,-0.14101288163875775,0.019462298193788658
54,1,43,2023-09-28 17:56:06.736302,[-0.40234482 -1.          0.12946272],-6.0,10.0,-0.9175954163074493,-0.3968569338321686,-0.8423305153846741,-0.3150165062707415,8.035561334123434,-53.4444610996818,-7.304389801675071,-0.1401923338606502,0.015359559303250947
55,1,44,2023-09-28 17:56:06.762578,[ 0.02795696 -1.          0.40965605],-6.0,10.0,-0.910606175661087,-0.29444292187690735,-1,-0.2970248004255581,8.000777369489413,-47.43163300622152,-6.501959720979892,-0.14059214954609872,0.017358637730493547
56,1,45,2023-09-28 17:56:06.787662,[-1.          0.13664365  0.29188788],-6.0,10.0,-1,-0.22147095203399658,-0.9658390879631042,-0.2615874160452761,7.932265093020868,-35.58845914633126,-4.921452377619313,-0.14137964697677166,0.021296124883858215
