total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 18:36:22.264217,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 18:36:22.298489,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 18:36:22.332556,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 18:36:22.366358,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 18:36:22.400037,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 18:36:22.433877,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 18:36:22.467986,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 18:36:22.502178,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 18:36:22.536479,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 18:36:22.570596,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 18:36:22.659447,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,0.012802981,1,0.70120645,-0.47175770373472453,8.338594315887134,-105.82736929214494,-14.295047208568715,-0.13670919613922836,-0.0020561293038582826
12,1,1,2023-09-28 18:36:22.693475,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,-0.17944482,1,0.70314765,-0.47436147577145577,8.343628275158148,-106.69754990682051,-14.411175441406929,-0.1366513345384121,-0.002345437307939527
13,1,2,2023-09-28 18:36:22.727537,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,-0.30754998,0.8938522934913635,0.9151799,-0.5272140268355812,8.445809873882123,-124.36087247245123,-16.768399218866925,-0.13547683340365377,-0.008217942981731244
14,1,3,2023-09-28 18:36:22.760971,[0.04276526 0.6446786  0.26343775],-6.0,10.0,-0.29685867,0.9597117304801941,1,-0.5908720367310334,8.568882026346664,-145.63537937951136,-19.60754646020409,-0.1340622109615326,-0.01529105519233704
15,1,4,2023-09-28 18:36:22.795347,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,-0.3648036,1,0.7650769948959351,-0.5038979102132607,8.400732048412305,-116.56862629727172,-15.728500417511427,-0.1359949693285942,-0.005627263357028962
16,1,5,2023-09-28 18:36:22.828830,[0.06858599 0.09552944 0.10823774],-6.0,10.0,-0.3476571,1,0.7889593541622162,-0.5144906534014034,8.42121135190938,-120.10872107074903,-16.200936763702593,-0.13575957503552438,-0.006804234822378158
17,1,6,2023-09-28 18:36:22.863088,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,-0.5567256,1,0.7917046546936035,-0.5176076552031327,8.427237555392724,-121.15042307288694,-16.33995504405972,-0.1356903083288193,-0.007150568355903629
18,1,7,2023-09-28 18:36:22.899505,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,-0.5485165,1,0.6124001294374466,-0.43684673685410497,8.271099779917936,-94.16012416064189,-12.738018085693083,-0.1374849954032421,0.001822867016210556
19,1,8,2023-09-28 18:36:22.933479,[-0.9351763  -0.44067895 -0.9827307 ],-6.0,10.0,-0.7823106,0.7543173283338547,0.5022303909063339,-0.3338493144498822,8.07197142993644,-59.73838559315062,-8.144333046464745,-0.13977382701222485,0.013267025061124205
20,1,9,2023-09-28 18:36:22.967776,[ 0.38303447 -0.08632374 -0.25330317],-6.0,10.0,-0.686552,0.690991535782814,0.4806494563817978,-0.3119651156104185,8.029661978846809,-52.42468634100188,-7.168297778224668,-0.1402601425419907,0.015698602709953498
21,1,10,2023-09-28 18:36:23.001811,[-0.9648841  -0.27547407 -0.78352046],-6.0,10.0,-0.927773,0.495111420750618,0.4117809385061264,-0.2564248374650943,7.922284107765849,-33.863125384834525,-4.691201372943207,-0.14149437094522013,0.021869744726100634
22,1,11,2023-09-28 18:36:23.035610,[-0.47978973 -0.33907378  0.22722316],-6.0,10.0,-1,0.5519172102212906,0.32701249420642853,-0.2465477505794631,7.903188406453629,-30.562202947656566,-4.250683297844055,-0.14171386176490083,0.0229671988245041
23,1,12,2023-09-28 18:36:23.069444,[ 0.42552805 -0.49307895  0.1702429 ],-6.0,10.0,-0.8936179876327515,0.5944779366254807,0.20374275743961334,-0.21887685020898398,7.849691332404036,-21.31458804384244,-3.016561141320685,-0.1423287706620226,0.026041743310112893
24,1,13,2023-09-28 18:36:23.103258,[-0.14079797  0.1062125  -0.42160738],-6.0,10.0,-0.928817480802536,0.48907609283924103,0.23029588162899017,-0.21537388182005654,7.84291892685211,-20.14389600826289,-2.860328751174521,-0.14240661440399874,0.02643096201999372
25,1,14,2023-09-28 18:36:23.137195,[ 0.61215556  0.12213039 -0.75475544],-6.0,10.0,-0.775778591632843,0.3003872334957123,0.26082848012447357,-0.1985693328273625,7.810430132132901,-14.527815734904543,-2.110845866100367,-0.1427800488260586,0.02829813413029306
26,1,15,2023-09-28 18:36:23.171023,[-0.00912422  0.24816167  0.45138407],-6.0,10.0,-0.778059646487236,0.4132332503795624,0.3228688985109329,-0.223371640788549,7.858381260857861,-22.816747055533064,-3.2170288011692842,-0.14222888642692114,0.025542322134605673
27,1,16,2023-09-28 18:36:23.205424,[-0.254202   -0.76101184  0.16265893],-6.0,10.0,-0.8416101485490799,0.45389798283576965,0.13261593878269196,-0.19099186953434283,7.795780369766396,-11.995427502377373,-1.77289100323169,-0.14294843689923684,0.029140074496184134
28,1,17,2023-09-28 18:36:23.239324,[ 0.3638221  -0.284276   -0.69538784],-6.0,10.0,-0.7506546229124069,0.28005102276802063,0.0615469366312027,-0.17084224875452475,7.756824436258748,-5.2614242377621725,-0.874217916451804,-0.14339620624989946,0.03137892124949725
29,1,18,2023-09-28 18:36:23.272823,[0.133968   0.19751585 0.7139447 ],-6.0,10.0,-0.717162624001503,0.45853719115257263,0.11092589795589447,-0.18567313596966128,7.7854974848746785,-10.217906745060796,-1.5356754862468924,-0.143066630978452,0.02973104489225986
30,1,19,2023-09-28 18:36:23.306990,[ 0.8210616 -0.5702706  0.5759747],-6.0,10.0,-0.5118972212076187,0.6025308668613434,-0.031641751527786255,-0.15235779560119683,7.721087826828981,0.9160800060800167,-0.049811305813378975,-0.14380697187552896,0.033432749377644795
31,1,20,2023-09-28 18:36:23.341630,[ 0.19528067  0.7182791  -0.01749718],-6.0,10.0,-0.46307705342769623,0.5981565713882446,0.14792802929878235,-0.20031557874876002,7.813806207580936,-15.111411121835598,-2.188728434194697,-0.14274124336113866,0.028104106805693335
32,1,21,2023-09-28 18:36:23.375781,[ 0.5344981  -0.21898955 -0.46643066],-6.0,10.0,-0.3294525295495987,0.48154890537261963,0.09318064153194427,-0.17948706893517818,7.773537755274678,-8.150523142136551,-1.259776896508947,-0.14320409913477383,0.03041838567386909
33,1,22,2023-09-28 18:36:23.409321,[ 0.6273105 -0.7318951 -0.4704157],-6.0,10.0,-0.17262490093708038,0.36394497752189636,-0.0897931307554245,-0.1431777625789521,7.703339762985975,3.9840470421142182,0.3596181669787376,-0.14401097260935664,0.03445275304678311
34,1,23,2023-09-28 18:36:23.442724,[-1.         -1.         -0.41917866],-6.0,10.0,-0.4226249009370804,0.25915031135082245,-0.3397931307554245,-0.1205077810748712,7.659511132078085,11.56035486077805,1.3706993420607456,-0.14451474997611397,0.03697163988056987
35,1,24,2023-09-28 18:36:23.476244,[-0.89820814  0.16104913 -1.        ],-6.0,10.0,-0.6471769362688065,0.009150311350822449,-0.29953084886074066,-0.1609212621896059,7.737643862233238,-1.9458305277662902,-0.43174191565642295,-0.14361667261800876,0.03248125309004379
36,1,25,2023-09-28 18:36:23.510097,[0.35785484 0.30910063 0.66251564],-6.0,10.0,-0.5577132254838943,0.17477922141551971,-0.22225569188594818,-0.1438688944770079,7.704675951322216,3.7530707617839605,0.32879368432544775,-0.14399561412273315,0.03437596061366579
37,1,26,2023-09-28 18:36:23.543879,[ 0.11438668 -0.02666414  0.32004273],-6.0,10.0,-0.5291165560483932,0.25478990375995636,-0.22892172634601593,-0.13484495392351653,7.687229666252132,6.768871694760776,0.7312614330111629,-0.14419614613503298,0.03537862067516483
38,1,27,2023-09-28 18:36:23.578221,[ 0.32383907  0.31185675 -0.5980678 ],-6.0,10.0,-0.44815678894519806,0.10527294874191284,-0.15095753967761993,-0.1532121556989975,7.722739589684728,0.6305528613950449,-0.08791576617528724,-0.14378798609557783,0.03333782047788917
39,1,28,2023-09-28 18:36:23.611761,[0.4994681  0.50587416 0.24271858],-6.0,10.0,-0.32328976690769196,0.16595259308815002,-0.02448900043964386,-0.15741083199587616,7.73085703052536,-0.7726447570218068,-0.2751767290160759,-0.14369468217786943,0.032871300889347095
40,1,29,2023-09-28 18:36:23.646132,[-0.24459815 -0.16381979  0.16725302],-6.0,10.0,-0.38443930447101593,0.2077658474445343,-0.06544394791126251,-0.1536713259561844,7.7236273188486235,0.47709816144317146,-0.1083947596458245,-0.1437777823120848,0.033286801560423955
41,1,30,2023-09-28 18:36:23.679451,[ 0.295411   -0.78174245 -0.4643426 ],-6.0,10.0,-0.3105865567922592,0.09168019890785217,-0.2608795613050461,-0.14836243847898242,7.7133634697260325,2.2513283563240805,0.12838162183738477,-0.14389575758935594,0.03387667794677973
42,1,31,2023-09-28 18:36:23.713889,[-0.84402937  0.04325557 -1.        ],-6.0,10.0,-0.5215938985347748,-0.15831980109214783,-0.2500656694173813,-0.17884003125577355,7.772286815761162,-7.934283149679518,-1.2309190160075003,-0.1432184777498717,0.030490278749358498
43,1,32,2023-09-28 18:36:23.747649,[-0.6351553  -0.65532434 -0.49089563],-6.0,10.0,-0.6803827285766602,-0.2810437083244324,-0.41389675438404083,-0.21479885997918186,7.841807217959752,-19.95172370904258,-2.834682777071511,-0.1424193926671293,0.02649485333564646
44,1,33,2023-09-28 18:36:23.782630,[-0.24884522 -0.93189776  0.45402503],-6.0,10.0,-0.7425940334796906,-0.16753745079040527,-0.6468711942434311,-0.2117821941942975,7.8359749974423085,-18.943554003734224,-2.700139483065669,-0.14248642968457118,0.026830038422855834
45,1,34,2023-09-28 18:36:23.816618,[-0.6358119   0.4284444   0.53626776],-6.0,10.0,-0.9015470147132874,-0.0334705114364624,-0.53976009786129,-0.17257367407020516,7.76017185853573,-5.8400665782625625,-0.95143948553115,-0.14335773013177322,0.031186540658866096
46,1,35,2023-09-28 18:36:23.850462,[-0.66401756 -0.73017085 -0.14558792],-6.0,10.0,-1,-0.06986749172210693,-0.7223028093576431,-0.18803949849914237,7.790072452431676,-11.008745102413382,-1.6412152550617498,-0.1430140451444635,0.029468115722317514
47,1,36,2023-09-28 18:36:23.884260,[-0.5925916 -1.        -0.839137 ],-6.0,10.0,-1,-0.2796517461538315,-0.9723028093576431,-0.28768781029221335,7.982725855231613,-44.31121090365771,-6.085529961032718,-0.1407996382157286,0.018396081078642962
48,1,37,2023-09-28 18:36:23.919427,[-0.92472804 -0.60535085  0.3515271 ],-6.0,10.0,-1,-0.19176997244358063,-1,-0.2516265175996113,7.913007356025915,-32.259526885790095,-4.477196306942664,-0.1416010002755642,0.02240289137782097
49,1,38,2023-09-28 18:36:23.953007,[-0.32726276 -1.          0.09211981],-6.0,10.0,-1,-0.16874001920223236,-1,-0.24126303864100457,7.892971296705943,-28.796052217823725,-4.014985145388804,-0.14183129980797768,0.023554389039888383
50,1,39,2023-09-28 18:36:23.987150,[ 0.5578573   0.32169425 -0.5857213 ],-6.0,10.0,-0.8605356812477112,-0.3151703476905823,-0.9195764362812042,-0.2944953024490956,7.995887006734918,-46.58627478248774,-6.389144111229664,-0.1406483606122423,0.017639693061211603
51,1,40,2023-09-28 18:36:24.020594,[-0.56162566  0.4858476  -0.7113733 ],-6.0,10.0,-1,-0.4930136799812317,-0.798114538192749,-0.34239665348441783,8.088496285403208,-62.59490629849244,-8.525544367405034,-0.13958388614479073,0.012317320723953577
52,1,41,2023-09-28 18:36:24.054391,[0.0376476  0.47198188 0.28013277],-6.0,10.0,-0.9905880987644196,-0.42298048734664917,-0.6801190674304962,-0.2947000154568547,7.996282785216586,-46.654689869680844,-6.398274311375721,-0.1406438114342921,0.01761694717146059
53,1,42,2023-09-28 18:36:24.087802,[ 0.69431555  0.3511542  -0.0249685 ],-6.0,10.0,-0.8170092105865479,-0.42922261357307434,-0.5923305153846741,-0.2780918562559021,7.964173677428078,-41.10424306472248,-5.657550411013234,-0.14101288163875775,0.019462298193788658
54,1,43,2023-09-28 18:36:24.121266,[-0.40234482 -1.          0.12946272],-6.0,10.0,-0.9175954163074493,-0.3968569338321686,-0.8423305153846741,-0.3150165062707415,8.035561334123434,-53.4444610996818,-7.304389801675071,-0.1401923338606502,0.015359559303250947
55,1,44,2023-09-28 18:36:24.155369,[ 0.02795696 -1.          0.40965605],-6.0,10.0,-0.910606175661087,-0.29444292187690735,-1,-0.2970248004255581,8.000777369489413,-47.43163300622152,-6.501959720979892,-0.14059214954609872,0.017358637730493547
56,1,45,2023-09-28 18:36:24.189733,[-1.          0.13664365  0.29188788],-6.0,10.0,-1,-0.22147095203399658,-0.9658390879631042,-0.2615874160452761,7.932265093020868,-35.58845914633126,-4.921452377619313,-0.14137964697677166,0.021296124883858215
57,1,46,2023-09-28 18:36:24.225697,[ 0.6811731  -0.99074626 -1.        ],-6.0,10.0,-0.8297067284584045,-0.4714709520339966,-1,-0.3759593189714241,8.153384105344754,-73.81154910424993,-10.022439248125517,-0.13883804913396836,0.008588135669841766
58,1,47,2023-09-28 18:36:24.259251,[-0.24763101  0.41069627  0.5801743 ],-6.0,10.0,-0.8916144818067551,-0.3264273703098297,-0.8973259329795837,-0.29616484541226384,7.999114789797043,-47.144236040778566,-6.463605727386966,-0.14061125965750526,0.01745418828752625
59,1,48,2023-09-28 18:36:24.293252,[-0.5741974  -0.6897936   0.55214465],-6.0,10.0,-1,-0.18839120864868164,-1,-0.25010607389190675,7.910067831524353,-31.751394598675233,-4.409384517579041,-0.1416347879135132,0.02257182956756592
60,1,49,2023-09-28 18:36:24.326725,[0.3344277  0.39553702 0.26453567],-6.0,10.0,-0.9163930714130402,-0.1222572922706604,-0.901115745306015,-0.21415315461232454,7.840558854250494,-19.735928975438853,-2.805884317709674,-0.1424337416752817,0.026566598376408387
61,1,50,2023-09-28 18:36:24.360671,[-0.3300897  -1.         -0.31618142],-6.0,10.0,-0.9989154934883118,-0.2013026475906372,-1,-0.25590646085718155,7.921281912990551,-33.68988392247008,-4.668081776230298,-0.14150589042539596,0.02192734212697983
62,1,51,2023-09-28 18:36:24.394746,[-1.          0.11387587  0.0874474 ],-6.0,10.0,-1,-0.17944079637527466,-0.9715310335159302,-0.24377956606082649,7.897836583050931,-29.63707568152821,-4.127222268312861,-0.1417753769764261,0.023274774882130395
63,1,52,2023-09-28 18:36:24.428116,[-0.19782937 -0.66157246  0.14504802],-6.0,10.0,-1,-0.143178790807724,-1,-0.2297604858634758,7.87073302800272,-24.951899079573614,-3.5019712915110213,-0.14208691209192276,0.0248324504596138
64,1,53,2023-09-28 18:36:24.461769,[-0.43652415 -0.39446902 -0.10084265],-6.0,10.0,-1,-0.1683894544839859,-1,-0.24110528451779367,7.892666305401068,-28.74333078984664,-4.007949311493598,-0.14183480545516014,0.023571917275800706
65,1,54,2023-09-28 18:36:24.495703,[-0.06028497 -0.85724497  0.19005418],-6.0,10.0,-1,-0.12087590992450714,-1,-0.21972418946602823,7.851329521634321,-21.59776882354663,-3.054352472184859,-0.14230994090075494,0.025947594503774644
66,1,55,2023-09-28 18:36:24.529167,[-0.94005674  0.36650407 -0.6821152 ],-6.0,10.0,-1,-0.29140470921993256,-0.9083739817142487,-0.28444703520197684,7.976460356723822,-43.22814386850066,-5.940991392008168,-0.14087165543995608,0.018756167199780353
67,1,56,2023-09-28 18:36:24.563825,[-0.35078728  0.1851027  -0.37822843],-6.0,10.0,-1,-0.3859618157148361,-0.8620983064174652,-0.31506169245130655,8.035648694072526,-53.45956232122664,-7.306405105328271,-0.1401913297233043,0.015354538616521498
68,1,57,2023-09-28 18:36:24.598096,[-0.36093444 -0.9674444   0.33457732],-6.0,10.0,-1,-0.3023174852132797,-1,-0.3013728983459759,8.009183692135554,-48.88476733122514,-6.695884888230525,-0.1404955251478672,0.016875515739336017
69,1,58,2023-09-28 18:36:24.631777,[-0.5248345  -0.02535421 -0.82483864],-6.0,10.0,-1,-0.5085271447896957,-1,-0.39416724515536306,8.188586095967036,-79.89663803492233,-10.834512755929193,-0.13843342855210305,0.006565032760515215
70,1,59,2023-09-28 18:36:24.665982,[-0.06812334 -1.         -0.85014266],-6.0,10.0,-1,-0.7210628092288971,-1,-0.4898082941530037,8.373492124029141,-111.85987660993383,-15.100103541223966,-0.13630807190771102,-0.004061750461444857
71,1,60,2023-09-28 18:36:24.699997,[-0.07714152  0.27395904 -0.2224868 ],-6.0,10.0,-1,-0.776684507727623,-0.9315102398395538,-0.49090033743286077,8.375603407703531,-112.22483747406206,-15.14880867150559,-0.13628380427926975,-0.004183088603651193
73,2,0,2023-09-28 18:36:24.789191,[-0.44070697  0.55041206  0.7001221 ],-6.0,10.0,0.36493805,1,-0.28146127,-0.02638801664689064,7.477546254183989,43.01518013260915,5.568440835548678,-0.14660630029673577,0.04742939148367882
74,2,1,2023-09-28 18:36:24.823113,[ 0.2672968   0.03252292 -0.17090678],-6.0,10.0,0.43176225,0.9572733044624329,-0.27333054,-0.034700756839650335,7.493617551889991,40.23706236018886,5.197692622951595,-0.14642157273689665,0.0465057536844833
75,2,2,2023-09-28 18:36:24.856666,[-0.6542561   0.24911928 -0.06911594],-6.0,10.0,0.26819822,0.9399943202733994,-0.21105072,-0.06464233127575143,7.551504595799786,30.230588183643878,3.862298403101487,-0.1457562044160944,0.043178912080472066
