total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 18:37:06.141551,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 18:37:06.170191,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 18:37:06.198930,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 18:37:06.227638,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 18:37:06.256745,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 18:37:06.286250,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 18:37:06.314876,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 18:37:06.344124,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 18:37:06.373596,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 18:37:06.402849,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 18:37:06.490943,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,-0.01153516,1,0.30900097,-0.2954842824620891,7.997799034760039,-46.91679190283017,-6.433252619809173,-0.14062638327862026,0.017529806393101217
12,1,1,2023-09-28 18:37:06.520190,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,-0.20378298,1,0.31094217,-0.29808805463293075,8.002832994290333,-47.78697256232546,-6.549380858628712,-0.14056852167482375,0.017240498374118805
13,1,2,2023-09-28 18:37:06.549706,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,-0.33188814,0.8938522934913635,0.52297443,-0.3696748760242876,8.141234182313623,-71.71128827131692,-9.742153092683226,-0.1389777034216825,0.00928640710841249
14,1,3,2023-09-28 18:37:06.581097,[0.04276526 0.6446786  0.26343775],-6.0,10.0,-0.32119682,0.9597117304801941,0.6841441,-0.4546822957944231,8.305581860535884,-100.1207679584962,-13.533484014431272,-0.13708864964901282,-0.0001588617549359017
15,1,4,2023-09-28 18:37:06.610254,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,-0.38914177,1,0.44922107,-0.3619817894754696,8.126360881652575,-69.14025874670195,-9.399041432605944,-0.13914866090054512,0.0101411945027256
16,1,5,2023-09-28 18:37:06.639857,[0.06858599 0.09552944 0.10823774],-6.0,10.0,-0.37199527,1,0.47310343,-0.3725745326636124,8.146840185149651,-72.68035352017925,-9.87147777879711,-0.13891326660747527,0.008964223037376404
17,1,6,2023-09-28 18:37:06.670683,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,-0.5810638,1,0.47584873,-0.3756915347335625,8.152866389151555,-73.72205561195658,-10.010496071116886,-0.13884399989480972,0.008617889474048613
18,1,7,2023-09-28 18:37:06.699941,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,-0.57285464,1,0.2965442,-0.2949306091425705,7.996728599675636,-46.73175427944707,-6.408558789758645,-0.1406386871301651,0.017591325650825503
19,1,8,2023-09-28 18:37:06.729450,[-0.9351763  -0.44067895 -0.9827307 ],-6.0,10.0,-0.80664873,0.7543173283338547,0.18637446,-0.22685333524980628,7.865112536816293,-23.98032934448525,-3.3723123741413588,-0.1421515154388932,0.025155467194465972
20,1,9,2023-09-28 18:37:06.758787,[ 0.38303447 -0.08632374 -0.25330317],-6.0,10.0,-0.7108901,0.690991535782814,0.16479352,-0.2139699587536177,7.840204675590328,-19.674704919459035,-2.7977137824113494,-0.14243781269436406,0.02658695347182026
21,1,10,2023-09-28 18:37:06.788403,[-0.9648841  -0.27547407 -0.78352046],-6.0,10.0,-0.9521111,0.495111420750618,0.095925,-0.18627113422395947,7.786653614832988,-10.417757761647252,-1.562346208388592,-0.14305334212835646,0.029664600641782286
22,1,11,2023-09-28 18:37:06.816956,[-0.47978973 -0.33907378  0.22722316],-6.0,10.0,-1,0.5519172102212906,0.011156559,-0.16810090361116237,7.751524502314914,-4.3452666908504645,-0.7519539230578418,-0.14345712503086305,0.03168351515431529
23,1,12,2023-09-28 18:37:06.846416,[ 0.42552805 -0.49307895  0.1702429 ],-6.0,10.0,-0.8936179876327515,0.5944779366254807,-0.11211318,-0.13438062712184373,7.686331967768898,6.924049711879829,0.7519704083657702,-0.14420646450840346,0.035430212542017364
24,1,13,2023-09-28 18:37:06.875378,[-0.14079797  0.1062125  -0.42160738],-6.0,10.0,-0.928817480802536,0.48907609283924103,-0.08556005,-0.14585896780708096,7.708523426427023,3.08798825487355,0.2400364138041901,-0.14395139027095377,0.03415484135476879
25,1,14,2023-09-28 18:37:06.904845,[ 0.61215556  0.12213039 -0.75475544],-6.0,10.0,-0.775778591632843,0.3003872334957123,-0.055027455,-0.15587374207413843,7.727885323343334,-0.25894930517705905,-0.20662251850657343,-0.14372883973168582,0.033042088658429065
26,1,15,2023-09-28 18:37:06.933721,[-0.00912422  0.24816167  0.45138407],-6.0,10.0,-0.778059646487236,0.4132332503795624,0.0070129633,-0.1646366621461154,7.744826968815823,-3.187517193231761,-0.5974487537167461,-0.14353410817453077,0.03206843087265385
27,1,16,2023-09-28 18:37:06.963167,[-0.254202   -0.76101184  0.16265893],-6.0,10.0,-0.8416101485490799,0.45389798283576965,-0.18324,-0.12647700219679148,7.67105162624713,9.565441161832293,1.104472080023101,-0.1443821006178491,0.0363083930892454
28,1,17,2023-09-28 18:37:06.992778,[ 0.3638221  -0.284276   -0.69538784],-6.0,10.0,-0.7506546229124069,0.28005102276802063,-0.254309,-0.13103714878746536,7.6798679096557665,8.041440171229082,0.9010895420790458,-0.14428076402694523,0.03580171013472608
29,1,18,2023-09-28 18:37:07.022197,[0.133968   0.19751585 0.7139447 ],-6.0,10.0,-0.717162624001503,0.45853719115257263,-0.20493004,-0.12049887396540547,7.659493911666451,11.563331616761493,1.3710965991429167,-0.14451494791187988,0.036972629559399395
30,1,19,2023-09-28 18:37:07.051455,[ 0.8210616 -0.5702706  0.5759747],-6.0,10.0,-0.5118972212076187,0.6025308668613434,-0.3474977,-0.06671696385887753,7.555515552127163,29.537245974363135,3.769769789894063,-0.14571010146980273,0.04294839734901361
31,1,20,2023-09-28 18:37:07.080200,[ 0.19528067  0.7182791  -0.01749718],-6.0,10.0,-0.46307705342769623,0.5981565713882446,-0.16792792,-0.11529648827017758,7.64943596598901,13.301968916106656,1.6031230011500806,-0.14463055648288495,0.03755067241442472
