,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,,2023-08-16 19:49:56.380606,,,1024,1000000,0.9999,0.003361818846897882,0,-3.9465068544440376,medium,0.02,16,RUNNING
1,1,-27271.084610800004,2023-08-16 19:49:56.381756,2023-08-16 19:50:03.707242,0 days 00:00:07.325486,128,10000,0.99,0.00274964555434885,20000,-1.1091943112992744,big,0.001,256,COMPLETE
2,2,,2023-08-16 19:50:03.709356,,,256,10000,0.99,0.002724384895708771,0,0.07684311311546743,medium,0.01,64,RUNNING
