,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,,2023-08-17 02:17:21.485840,,,128,1000000,0.9999,1.1607149495476962e-05,1000,0.662105474471435,small,0.05,64,RUNNING
1,1,-18294.901467999996,2023-08-17 02:17:21.488642,2023-08-17 02:22:05.662658,0 days 00:04:44.174016,16,10000,0.999,0.0002616395042638137,1000,-2.407075429145592,medium,0.001,16,COMPLETE
2,2,-15523.665393600002,2023-08-17 02:22:05.667738,2023-08-17 02:22:12.641521,0 days 00:00:06.973783,16,10000,0.99,1.3185936968345106e-05,10000,-1.7318598326441261,big,0.005,32,COMPLETE
3,3,,2023-08-17 02:22:12.644855,,,512,10000,0.995,0.001996617411812155,1000,0.2598403715069457,small,0.02,8,RUNNING
