,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17644.6665334,2023-08-16 20:32:17.257430,2023-08-16 20:32:18.842259,0 days 00:00:01.584829,1024,10000,0.9999,0.0007588291327767719,10000,-2.538436817724011,small,0.02,512,COMPLETE
1,1,-17966.3641986,2023-08-16 20:32:17.258590,2023-08-16 20:32:19.227905,0 days 00:00:01.969315,32,1000000,0.9,1.5631584633940353e-05,20000,-0.06984259254355507,big,0.05,64,COMPLETE
2,2,-15670.3349272,2023-08-16 20:32:18.844060,2023-08-16 20:32:48.286296,0 days 00:00:29.442236,256,100000,0.9999,0.0011456646143259335,0,-3.1067342815113483,medium,0.02,256,COMPLETE
3,3,-17913.450524000003,2023-08-16 20:32:19.229899,2023-08-16 20:32:20.944559,0 days 00:00:01.714660,2048,10000,0.995,0.004501951493256585,10000,0.6375433579376635,big,0.05,1,COMPLETE
4,4,-17072.355202600003,2023-08-16 20:32:20.945655,2023-08-16 20:32:29.994905,0 days 00:00:09.049250,32,1000000,0.995,0.00664197636502464,1000,-3.848334899377669,medium,0.01,512,COMPLETE
5,5,-17943.5256038,2023-08-16 20:32:29.996499,2023-08-16 20:33:48.748870,0 days 00:01:18.752371,512,1000000,0.9999,4.719133762245364e-05,0,-2.3083620424228384,big,0.05,16,COMPLETE
6,6,-16135.487262999999,2023-08-16 20:32:48.287616,2023-08-16 20:32:51.158671,0 days 00:00:02.871055,32,10000,0.99,0.0008891697971848443,20000,-1.9544175205630197,small,0.01,4,COMPLETE
7,7,-17589.8604318,2023-08-16 20:32:51.160402,2023-08-16 20:32:52.097740,0 days 00:00:00.937338,1024,1000000,0.9999,0.01211304270955755,20000,-1.529895830371054,small,0.01,64,COMPLETE
8,8,-29038.361641799995,2023-08-16 20:32:52.099279,2023-08-16 20:33:01.491248,0 days 00:00:09.391969,256,1000000,0.99,0.32229705293196326,1000,-1.3892419927864035,medium,0.01,256,COMPLETE
9,9,-22568.9559962,2023-08-16 20:33:01.492753,2023-08-16 20:33:02.559459,0 days 00:00:01.066706,256,100000,0.9999,0.9242147208524675,20000,-0.6067344135763051,small,0.005,32,COMPLETE
10,10,-17670.8896216,2023-08-16 20:33:02.560643,2023-08-16 20:34:00.912911,0 days 00:00:58.352268,256,100000,0.99,0.049248936712392055,0,-1.6671884019556753,big,0.08,512,COMPLETE
11,11,-18046.849092800003,2023-08-16 20:33:48.750040,2023-08-16 20:34:27.494733,0 days 00:00:38.744693,256,100000,0.99,0.004496538681776727,0,-3.225128825146021,medium,0.005,1,PRUNED
12,12,-22483.7128402,2023-08-16 20:34:00.914226,2023-08-16 20:34:19.508142,0 days 00:00:18.593916,16,100000,0.9999,0.0008028425595322848,0,-3.1437378378858227,medium,0.02,128,PRUNED
13,13,-11815.4780354,2023-08-16 20:34:19.509054,2023-08-16 20:34:37.610102,0 days 00:00:18.101048,256,10000,0.9999,0.0002424959116450824,0,-3.817128569886253,small,0.02,256,COMPLETE
14,14,-17796.5596266,2023-08-16 20:34:27.496182,2023-08-16 20:34:58.239752,0 days 00:00:30.743570,256,100000,0.98,0.0015327749431306595,0,-1.6692378467507294,medium,0.02,32,PRUNED
15,15,-17849.794574599997,2023-08-16 20:34:37.611337,2023-08-16 20:35:01.792489,0 days 00:00:24.181152,256,100000,0.995,3.6500552760969476e-05,0,-3.660145515374064,medium,0.02,256,PRUNED
16,16,-17743.9485612,2023-08-16 20:34:58.241388,2023-08-16 20:35:17.934086,0 days 00:00:19.692698,128,100000,0.9999,0.0031096868418943506,0,-2.3568056431107647,medium,0.02,256,PRUNED
17,17,-19032.93639,2023-08-16 20:35:01.793336,2023-08-16 20:35:03.980959,0 days 00:00:02.187623,256,10000,0.9,0.0002504765215584582,1000,-3.6045888387603133,small,0.02,64,PRUNED
18,18,-31762.6592138,2023-08-16 20:35:03.983080,2023-08-16 20:35:23.709581,0 days 00:00:19.726501,256,10000,0.9999,0.00040953619810131796,0,-3.3112027973429745,small,0.005,1,PRUNED
19,19,-17219.5845436,2023-08-16 20:35:17.934981,2023-08-16 20:35:18.798398,0 days 00:00:00.863417,2048,10000,0.9999,0.00016092945239361216,10000,-3.7791982743803008,medium,0.02,256,COMPLETE
20,20,-18353.846934399997,2023-08-16 20:35:18.800254,2023-08-16 20:35:35.397728,0 days 00:00:16.597474,256,10000,0.98,0.00047460904556977774,0,-1.754697034967549,small,0.05,256,PRUNED
21,21,-17683.9580402,2023-08-16 20:35:23.711169,2023-08-16 20:35:48.217847,0 days 00:00:24.506678,2048,10000,0.9999,0.00029077989214425194,0,-3.0175191404122534,small,0.05,256,PRUNED
22,22,-17054.7170034,2023-08-16 20:35:35.399283,2023-08-16 20:35:49.873861,0 days 00:00:14.474578,32,1000000,0.99,0.0010234023032853954,0,-2.5138120649609226,small,0.01,4,COMPLETE
23,23,-17477.4716946,2023-08-16 20:35:48.219769,2023-08-16 20:35:49.353100,0 days 00:00:01.133331,32,1000000,0.99,0.00048610184823412233,20000,-1.9315496812330726,small,0.005,4,COMPLETE
24,24,-275.5039194,2023-08-16 20:35:49.354665,2023-08-16 20:36:11.391162,0 days 00:00:22.036497,256,10000,0.9999,0.006647303394336088,0,-3.8771309483779053,small,0.02,4,COMPLETE
25,25,-17466.2989682,2023-08-16 20:35:49.875339,2023-08-16 20:35:50.963231,0 days 00:00:01.087892,32,10000,0.9,0.0010853875142604423,1000,-2.190915082137847,small,0.01,16,COMPLETE
26,26,-4082.0116399999997,2023-08-16 20:35:50.964414,2023-08-16 20:35:53.530496,0 days 00:00:02.566082,64,10000,0.99,7.944956174198335e-05,20000,-2.608077877983415,small,0.01,16,COMPLETE
27,27,-21206.545933,2023-08-16 20:35:53.531452,2023-08-16 20:35:55.148711,0 days 00:00:01.617259,64,10000,0.99,0.003430599839927049,20000,-2.807122425176788,small,0.08,16,PRUNED
28,28,-28501.554932600004,2023-08-16 20:35:55.150275,2023-08-16 20:35:56.352922,0 days 00:00:01.202647,64,10000,0.99,0.00010805899528132291,10000,-2.370412007915519,medium,0.01,16,PRUNED
29,29,-27770.741737199998,2023-08-16 20:35:56.353862,2023-08-16 20:36:15.012264,0 days 00:00:18.658402,1024,10000,0.9999,3.1724543947694893e-05,0,-3.749088410385138,small,0.02,256,PRUNED
30,30,-17585.7329726,2023-08-16 20:36:11.393580,2023-08-16 20:36:28.914297,0 days 00:00:17.520717,256,100000,0.99,0.00011243303115060446,0,-3.9984392444472743,small,0.02,4,PRUNED
31,31,-17910.7020566,2023-08-16 20:36:15.013506,2023-08-16 20:36:31.545170,0 days 00:00:16.531664,256,10000,0.9999,0.021366174572865423,0,-2.617804511876073,small,0.02,16,PRUNED
32,32,-17837.8525936,2023-08-16 20:36:28.915962,2023-08-16 20:36:45.762622,0 days 00:00:16.846660,256,10000,0.9999,0.0023790323007394218,0,-3.5255937305678775,small,0.02,128,PRUNED
