,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
33,33,-17423.329105599998,2023-08-16 20:36:31.546228,2023-08-16 20:36:33.159932,0 days 00:00:01.613704,64,10000,0.98,9.079019165179413e-05,20000,-1.7014028270986479,small,0.01,1,COMPLETE
34,34,-17928.4620566,2023-08-16 20:36:33.161765,2023-08-16 20:36:34.293372,0 days 00:00:01.131607,64,10000,0.99,6.78671293771306e-05,20000,-3.2613231185809837,big,0.01,256,PRUNED
35,35,-271.9525796,2023-08-16 20:36:34.295113,2023-08-16 20:36:56.322216,0 days 00:00:22.027103,256,1000000,0.9999,0.01348620996180854,0,-3.1978882698668647,small,0.05,4,COMPLETE
36,36,-40737.8623586,2023-08-16 20:36:45.763451,2023-08-16 20:36:47.996411,0 days 00:00:02.232960,32,10000,0.99,0.0002762892674524441,20000,-3.8864897361151485,small,0.01,16,PRUNED
37,37,-21643.276763400005,2023-08-16 20:36:47.997339,2023-08-16 20:36:49.058579,0 days 00:00:01.061240,256,100000,0.9999,0.00030567290976014325,1000,-2.686222177494474,small,0.02,256,PRUNED
38,38,-17684.6285758,2023-08-16 20:36:49.059550,2023-08-16 20:36:50.144509,0 days 00:00:01.084959,64,1000000,0.99,2.5711706480445768e-05,20000,-2.267684538498635,small,0.01,16,PRUNED
39,39,-18318.1493028,2023-08-16 20:36:50.146014,2023-08-16 20:37:09.029743,0 days 00:00:18.883729,256,10000,0.995,0.035412704090657714,0,-3.6385225835966524,small,0.005,4,PRUNED
40,40,-32828.0047528,2023-08-16 20:36:56.324187,2023-08-16 20:37:15.293682,0 days 00:00:18.969495,256,1000000,0.9999,0.002403286866880302,0,-2.806279075560822,small,0.05,64,PRUNED
41,41,-19594.1841084,2023-08-16 20:37:09.031488,2023-08-16 20:37:10.246256,0 days 00:00:01.214768,32,1000000,0.9999,0.0017229716982971172,1000,-3.6361120897708115,small,0.05,4,PRUNED
42,42,-17736.924474,2023-08-16 20:37:10.248026,2023-08-16 20:37:27.978292,0 days 00:00:17.730266,64,100000,0.9999,0.03836622078252632,0,-3.656483973778431,small,0.05,4,PRUNED
43,43,-17604.067379199998,2023-08-16 20:37:15.295081,2023-08-16 20:37:16.361909,0 days 00:00:01.066828,256,10000,0.9999,0.47288128782951494,20000,-3.389669116544499,small,0.02,4,PRUNED
44,44,-18422.5459766,2023-08-16 20:37:16.363333,2023-08-16 20:37:17.433746,0 days 00:00:01.070413,64,10000,0.9,0.0003250599631907446,20000,-1.4168391961957194,small,0.05,16,PRUNED
45,45,-17562.2556208,2023-08-16 20:37:17.434508,2023-08-16 20:37:32.269576,0 days 00:00:14.835068,16,1000000,0.98,0.005717753144081845,0,-3.5882208330398595,small,0.05,4,PRUNED
46,46,-17378.7930312,2023-08-16 20:37:27.979826,2023-08-16 20:37:43.019933,0 days 00:00:15.040107,256,1000000,0.9999,0.15163316340490648,0,-2.8676121971611788,small,0.05,4,COMPLETE
47,47,-18010.130885,2023-08-16 20:37:32.270892,2023-08-16 20:37:47.783572,0 days 00:00:15.512680,256,1000000,0.995,0.028796969961059456,0,-3.054086321208865,small,0.05,4,PRUNED
48,48,-17378.7930312,2023-08-16 20:37:43.021314,2023-08-16 20:38:02.709955,0 days 00:00:19.688641,512,10000,0.9999,0.02644248098336681,0,-3.815910685618968,small,0.01,4,COMPLETE
49,49,-18590.1017566,2023-08-16 20:37:47.785133,2023-08-16 20:37:49.886980,0 days 00:00:02.101847,256,10000,0.995,0.0007966488641339141,10000,-3.2408401003354954,small,0.02,256,PRUNED
50,50,-17650.9187216,2023-08-16 20:37:49.888242,2023-08-16 20:38:06.460080,0 days 00:00:16.571838,256,10000,0.98,0.0045117933503557636,0,-3.9027242511547726,small,0.02,4,PRUNED
51,51,-24676.9067192,2023-08-16 20:38:02.711186,2023-08-16 20:38:04.320261,0 days 00:00:01.609075,64,10000,0.99,0.00027928515351271284,20000,-2.2768388230139984,small,0.01,64,PRUNED
52,52,-9673.436897399999,2023-08-16 20:38:04.321854,2023-08-16 20:38:22.851415,0 days 00:00:18.529561,128,10000,0.995,0.0010219869183264755,0,-3.176932466199961,small,0.02,4,COMPLETE
53,53,-25098.997456,2023-08-16 20:38:06.461514,2023-08-16 20:38:07.890729,0 days 00:00:01.429215,32,10000,0.95,0.0005832889740760816,20000,-1.2619309134827592,small,0.01,4,PRUNED
54,54,-17977.0586258,2023-08-16 20:38:07.891754,2023-08-16 20:38:50.373428,0 days 00:00:42.481674,256,10000,0.9999,0.007434884692684591,0,-3.701669941534295,big,0.02,4,PRUNED
55,55,-8564.6227062,2023-08-16 20:38:22.853393,2023-08-16 20:38:55.055490,0 days 00:00:32.202097,256,100000,0.9999,0.0018644545587080028,0,-2.9076678510286595,medium,0.02,8,COMPLETE
56,56,-17357.985487799997,2023-08-16 20:38:50.375499,2023-08-16 20:39:07.893073,0 days 00:00:17.517574,128,10000,0.995,0.0010064562796308612,0,-3.8217254515253014,small,0.02,4,COMPLETE
57,57,-18521.938196,2023-08-16 20:38:55.056707,2023-08-16 20:38:56.270596,0 days 00:00:01.213889,128,10000,0.995,0.0007571190507271394,20000,-3.5940724177652226,small,0.08,4,PRUNED
58,58,-44407.340935800006,2023-08-16 20:38:56.272133,2023-08-16 20:39:13.619998,0 days 00:00:17.347865,128,10000,0.995,3.537665342067717e-05,0,-3.265841090991481,small,0.02,8,PRUNED
59,59,-18403.556761,2023-08-16 20:39:07.894224,2023-08-16 20:39:38.959763,0 days 00:00:31.065539,256,100000,0.9999,0.0012123285111965054,0,-3.641217279209959,medium,0.05,8,PRUNED
60,60,-24334.089026999998,2023-08-16 20:39:13.620991,2023-08-16 20:39:27.438863,0 days 00:00:13.817872,256,10000,0.9999,0.0001301125470255926,0,-3.6688063638943733,small,0.01,256,PRUNED
61,61,-17161.6842578,2023-08-16 20:39:27.439908,2023-08-16 20:39:57.497903,0 days 00:00:30.057995,256,1000000,0.9999,0.007597491809247965,0,-1.9109905951539419,medium,0.02,512,COMPLETE
62,62,-18031.9217264,2023-08-16 20:39:38.960662,2023-08-16 20:39:52.299307,0 days 00:00:13.338645,256,1000000,0.999,0.00014512695761971368,0,-2.6409207431780573,small,0.02,256,PRUNED
63,63,-20193.0790188,2023-08-16 20:39:52.303485,2023-08-16 20:40:15.344721,0 days 00:00:23.041236,256,1000000,0.9999,0.0009560135752779688,0,-3.071931770620517,medium,0.02,256,PRUNED
64,64,-17682.9829586,2023-08-16 20:39:57.499225,2023-08-16 20:40:12.530207,0 days 00:00:15.030982,256,10000,0.9999,0.0018488619269475418,0,-3.364220680596469,small,0.05,4,PRUNED
65,65,-6646.772346800001,2023-08-16 20:40:12.531908,2023-08-16 20:40:48.335200,0 days 00:00:35.803292,256,100000,0.9999,0.0007527383376383453,0,-3.597592384628031,medium,0.001,256,COMPLETE
66,66,-17986.961388,2023-08-16 20:40:15.345581,2023-08-16 20:40:40.949744,0 days 00:00:25.604163,256,100000,0.99,0.009959253276021212,0,-2.6077139714185935,medium,0.02,256,PRUNED
67,67,-17320.9347888,2023-08-16 20:40:40.951441,2023-08-16 20:42:53.556097,0 days 00:02:12.604656,2048,100000,0.9999,6.772019743600547e-05,0,-2.144285138943802,medium,0.02,8,PRUNED
68,68,-17177.5813916,2023-08-16 20:40:48.336695,2023-08-16 20:41:29.443838,0 days 00:00:41.107143,256,100000,0.9999,0.001052519268267301,0,-3.1065500947172797,medium,0.001,256,COMPLETE
69,69,-17259.0995804,2023-08-16 20:41:29.445095,2023-08-16 20:42:04.830044,0 days 00:00:35.384949,256,100000,0.9999,0.0030583766224955887,0,-1.5910138261056017,medium,0.02,16,COMPLETE
70,70,-18370.2772598,2023-08-16 20:42:04.832220,2023-08-16 20:42:17.739678,0 days 00:00:12.907458,32,100000,0.9999,0.003316060057847688,0,-3.771079021110023,medium,0.02,512,PRUNED
71,71,-32130.9736982,2023-08-16 20:42:17.740914,2023-08-16 20:42:38.584777,0 days 00:00:20.843863,256,100000,0.9999,0.0008003061259796851,0,-2.788196002222298,small,0.02,8,PRUNED
72,72,-17184.259949599997,2023-08-16 20:42:38.586168,2023-08-16 20:42:54.537931,0 days 00:00:15.951763,16,10000,0.9999,0.001986461809378609,0,-3.5791615226172877,small,0.02,4,COMPLETE
73,73,-17894.8593544,2023-08-16 20:42:53.557143,2023-08-16 20:43:09.994662,0 days 00:00:16.437519,64,10000,0.9999,0.06645158875385146,0,-3.6559932361212217,small,0.02,4,PRUNED
74,74,-19658.3740078,2023-08-16 20:42:54.540123,2023-08-16 20:43:27.269471,0 days 00:00:32.729348,256,10000,0.9999,8.186758172897712e-05,0,-2.533595656020668,big,0.02,256,PRUNED
75,75,-7206.456205800001,2023-08-16 20:43:09.996261,2023-08-16 20:43:42.867809,0 days 00:00:32.871548,256,100000,0.9999,0.0014537510332666038,0,-3.1692767515596163,medium,0.02,1,COMPLETE
76,76,-16336.220706600001,2023-08-16 20:43:27.270425,2023-08-16 20:43:28.569257,0 days 00:00:01.298832,64,10000,0.995,0.0012993235329840983,20000,-2.6768989682166713,small,0.01,16,COMPLETE
77,77,-13687.173127600001,2023-08-16 20:43:28.570173,2023-08-16 20:43:47.360914,0 days 00:00:18.790741,256,10000,0.98,5.8185529231248776e-05,0,-3.4542644293195797,small,0.02,256,COMPLETE
78,78,-17667.7879162,2023-08-16 20:43:42.868760,2023-08-16 20:43:43.947926,0 days 00:00:01.079166,64,10000,0.99,1.2514831248186646e-05,1000,-2.4746390250801484,small,0.01,16,PRUNED
79,79,-1692.5347367999998,2023-08-16 20:43:43.948793,2023-08-16 20:44:19.172975,0 days 00:00:35.224182,256,100000,0.9999,0.0026453178111216186,0,-2.2464024458298613,medium,0.08,1,COMPLETE
80,80,-67735.8859922,2023-08-16 20:43:47.362063,2023-08-16 20:43:49.944358,0 days 00:00:02.582295,1024,10000,0.99,0.0003446752826015328,20000,-1.8038818288275005,small,0.01,16,PRUNED
81,81,-17805.2705292,2023-08-16 20:43:49.945142,2023-08-16 20:44:06.216535,0 days 00:00:16.271393,256,100000,0.9999,0.012162750026020994,0,-3.673050636264975,medium,0.08,512,PRUNED
82,82,-21330.4375024,2023-08-16 20:44:06.218330,2023-08-16 20:44:22.076242,0 days 00:00:15.857912,256,10000,0.98,1.4219094661348232e-05,0,-2.9389408850612186,small,0.02,256,PRUNED
83,83,-2820.8896661999997,2023-08-16 20:44:19.174923,2023-08-16 20:44:57.087597,0 days 00:00:37.912674,256,100000,0.9999,0.00047418333029152317,0,-3.4285026195162787,medium,0.02,1,COMPLETE
84,84,-8352.8958072,2023-08-16 20:44:22.077064,2023-08-16 20:44:54.024956,0 days 00:00:31.947892,128,100000,0.9999,0.001048659946242336,0,-2.3037798683340425,medium,0.08,1,COMPLETE
85,85,-171.3507904,2023-08-16 20:44:54.026760,2023-08-16 20:45:34.123047,0 days 00:00:40.096287,256,100000,0.9999,0.003715520302218971,0,-0.5600263500240992,medium,0.08,1,COMPLETE
86,86,-17666.975904,2023-08-16 20:44:57.089277,2023-08-16 20:45:29.371361,0 days 00:00:32.282084,128,100000,0.9999,0.014182777092787782,0,-3.049183435485996,medium,0.001,1,PRUNED
87,87,-17348.931936,2023-08-16 20:45:29.372286,2023-08-16 20:46:02.449056,0 days 00:00:33.076770,256,100000,0.9,0.003767387158798146,0,-2.772498371883615,medium,0.02,1,PRUNED
88,88,-17958.8915304,2023-08-16 20:45:34.124658,2023-08-16 20:46:07.536740,0 days 00:00:33.412082,256,100000,0.9,0.0037515756861415017,0,-1.4867932893487061,medium,0.08,1,PRUNED
89,89,-17342.8630758,2023-08-16 20:46:02.450076,2023-08-16 20:47:29.619912,0 days 00:01:27.169836,1024,1000000,0.9999,0.0040946977660538345,0,-3.8039965342309228,medium,0.02,1,PRUNED
90,90,-6476.1689688,2023-08-16 20:46:07.537955,2023-08-16 20:47:03.463787,0 days 00:00:55.925832,512,100000,0.9999,5.1253826598741785e-05,0,-3.93522089174258,medium,0.02,1,COMPLETE
91,91,-10311.926656399999,2023-08-16 20:47:03.465838,2023-08-16 20:47:31.999403,0 days 00:00:28.533565,32,100000,0.9999,1.095553000745253e-05,0,-3.180727880064298,medium,0.02,1,COMPLETE
92,92,-17887.7417924,2023-08-16 20:47:29.621317,2023-08-16 20:48:05.062043,0 days 00:00:35.440726,128,100000,0.9999,0.0004950656289084953,0,0.328937852065492,medium,0.08,1,PRUNED
93,93,-17592.4292696,2023-08-16 20:47:32.000723,2023-08-16 20:47:32.921043,0 days 00:00:00.920320,512,100000,0.9999,0.00017225280891113354,1000,-3.585690690171094,medium,0.02,16,PRUNED
94,94,-17245.9468406,2023-08-16 20:47:32.921987,2023-08-16 20:49:59.281052,0 days 00:02:26.359065,2048,100000,0.9999,0.0002648474806182207,0,-2.7461330017781984,medium,0.08,1,PRUNED
95,95,-8032.608551799999,2023-08-16 20:48:05.063119,2023-08-16 20:49:04.549498,0 days 00:00:59.486379,512,100000,0.9999,0.0006702432060039431,0,-3.7621446695717617,medium,0.02,1,COMPLETE
96,96,-959.8827418000001,2023-08-16 20:49:04.551147,2023-08-16 20:50:01.759605,0 days 00:00:57.208458,512,100000,0.9999,0.006319350793261791,0,-3.556878774748389,medium,0.02,1,COMPLETE
97,97,-34343.2550966,2023-08-16 20:49:59.282182,2023-08-16 20:50:48.692009,0 days 00:00:49.409827,512,100000,0.9999,0.00033208936081720054,0,-3.9802706348734933,medium,0.02,1,PRUNED
98,98,-43783.6097952,2023-08-16 20:50:01.767890,2023-08-16 20:50:06.546113,0 days 00:00:04.778223,256,100000,0.9999,0.0004867287985992021,10000,-3.132011786363207,medium,0.02,128,PRUNED
99,99,-17135.5780528,2023-08-16 20:50:06.547988,2023-08-16 20:50:36.661965,0 days 00:00:30.113977,256,100000,0.9999,0.018575659482896117,0,-1.4036604802177886,medium,0.08,4,PRUNED
100,100,-17715.2015774,2023-08-16 20:50:36.663520,2023-08-16 20:51:26.392893,0 days 00:00:49.729373,512,100000,0.98,6.266366184504718e-05,0,-3.1663265669720313,medium,0.01,1,PRUNED
101,101,-25837.4936254,2023-08-16 20:50:48.696326,2023-08-16 20:51:16.741827,0 days 00:00:28.045501,128,100000,0.9999,0.0002829888199061655,0,-3.9422501719148113,big,0.001,256,PRUNED
102,102,-16990.5287462,2023-08-16 20:51:16.743261,2023-08-16 20:51:59.889366,0 days 00:00:43.146105,512,100000,0.9999,0.00042573859848366903,0,-3.1337298192374816,medium,0.005,32,PRUNED
103,103,-1013.2589052000001,2023-08-16 20:51:26.394448,2023-08-16 20:51:56.879359,0 days 00:00:30.484911,256,100000,0.9999,0.0009110207170098401,0,-0.9137987521054024,medium,0.005,1,COMPLETE
104,104,,2023-08-16 20:51:56.881215,,,256,100000,0.9999,0.000576948900002998,0,-1.8143315730732206,big,0.02,1,RUNNING
105,105,-17131.6051932,2023-08-16 20:51:59.890442,2023-08-16 20:52:35.476741,0 days 00:00:35.586299,256,100000,0.9999,0.00032448864405118353,0,-2.219727624325631,medium,0.005,1,PRUNED
106,106,-17378.7930312,2023-08-16 20:52:35.477952,2023-08-16 20:52:37.168958,0 days 00:00:01.691006,256,100000,0.9999,0.0029638271959947634,20000,-0.8189264348181116,medium,0.08,1,PRUNED
107,107,,2023-08-16 20:52:37.169873,,,256,100000,0.9999,0.0013961197393840188,0,-2.97767370859853,medium,0.02,1,RUNNING
