,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17826.5745512,2023-08-16 20:26:51.756288,2023-08-16 20:27:16.449364,0 days 00:00:24.693076,16,100000,0.999,0.15505117908258845,0,-0.29559913474619703,big,0.001,512,COMPLETE
1,1,-17764.551017800004,2023-08-16 20:26:51.757949,2023-08-16 20:26:53.944462,0 days 00:00:02.186513,64,10000,0.9,0.0002805253669894545,1000,-3.0978463088656,big,0.001,1,COMPLETE
2,2,-12185.039544399999,2023-08-16 20:26:53.945666,2023-08-16 20:26:57.376834,0 days 00:00:03.431168,32,1000000,0.98,6.51211751478474e-05,10000,0.06993695510419062,medium,0.001,1,COMPLETE
3,3,-17562.2556208,2023-08-16 20:26:57.377966,2023-08-16 20:27:28.063013,0 days 00:00:30.685047,256,1000000,0.99,0.006160978927919925,0,0.6476158058004993,medium,0.02,128,COMPLETE
4,4,-20662.4325296,2023-08-16 20:27:16.451369,2023-08-16 20:27:18.014737,0 days 00:00:01.563368,2048,100000,0.99,0.002551456653749611,10000,-1.278020553618569,medium,0.005,1,COMPLETE
5,5,-17720.1122286,2023-08-16 20:27:18.015846,2023-08-16 20:27:18.813742,0 days 00:00:00.797896,2048,1000000,0.9999,2.256262623765786e-05,20000,0.4900153832670604,medium,0.02,256,COMPLETE
6,6,-17755.8165128,2023-08-16 20:27:18.814714,2023-08-16 20:27:19.747058,0 days 00:00:00.932344,2048,100000,0.98,0.002287121354473291,10000,-1.590884682958075,big,0.005,128,COMPLETE
7,7,-17894.8593544,2023-08-16 20:27:19.748025,2023-08-16 20:27:51.273295,0 days 00:00:31.525270,256,10000,0.995,0.09429515328761412,0,-3.669110693285096,medium,0.01,128,PRUNED
8,8,-24332.0362254,2023-08-16 20:27:28.064270,2023-08-16 20:27:29.626233,0 days 00:00:01.561963,16,100000,0.95,0.0004205705246735644,10000,-2.8799514860115463,big,0.005,16,COMPLETE
9,9,-33926.4075898,2023-08-16 20:27:29.627444,2023-08-16 20:27:31.204004,0 days 00:00:01.576560,16,10000,0.9999,0.16395729862618572,20000,-0.262020259595503,big,0.01,128,COMPLETE
10,10,-17635.271179,2023-08-16 20:27:31.205100,2023-08-16 20:27:34.785544,0 days 00:00:03.580444,128,10000,0.999,0.013982736699405163,1000,-1.6039536971895663,medium,0.02,128,COMPLETE
11,11,-40914.9382462,2023-08-16 20:27:34.786905,2023-08-16 20:27:37.865503,0 days 00:00:03.078598,256,1000000,0.99,6.909969707280032e-05,10000,-0.8548661468346083,medium,0.001,1,PRUNED
12,12,-17561.2346376,2023-08-16 20:27:37.866362,2023-08-16 20:28:20.476129,0 days 00:00:42.609767,512,1000000,0.99,0.012355042485361938,0,-0.30246395475448506,medium,0.02,8,COMPLETE
13,13,-17628.0362474,2023-08-16 20:27:51.274225,2023-08-16 20:27:52.221680,0 days 00:00:00.947455,32,1000000,0.98,3.095887358411057e-05,10000,0.2609836934747592,small,0.01,16,COMPLETE
14,14,-17688.911129199998,2023-08-16 20:27:52.223130,2023-08-16 20:28:37.134331,0 days 00:00:44.911201,512,1000000,0.99,0.03693917001899398,0,0.02233097751489488,medium,0.02,128,PRUNED
15,15,-14880.3645602,2023-08-16 20:28:20.477273,2023-08-16 20:28:23.523319,0 days 00:00:03.046046,32,1000000,0.98,2.4479593551388402e-05,20000,0.8651369072455001,medium,0.001,1,COMPLETE
16,16,-17457.898374399996,2023-08-16 20:28:23.524413,2023-08-16 20:28:26.766194,0 days 00:00:03.241781,32,1000000,0.95,0.0006256270781873991,20000,0.8436774109215578,medium,0.001,1,COMPLETE
17,17,-18003.742395600002,2023-08-16 20:28:26.767382,2023-08-16 20:28:28.564514,0 days 00:00:01.797132,32,1000000,0.98,2.156352250118822e-05,20000,0.7463040797268687,big,0.001,1,PRUNED
18,18,-38668.3597004,2023-08-16 20:28:28.566330,2023-08-16 20:28:30.677508,0 days 00:00:02.111178,1024,1000000,0.9999,5.543850021253037e-05,10000,0.45059857640936063,medium,0.001,128,PRUNED
19,19,-19965.405449399997,2023-08-16 20:28:30.684717,2023-08-16 20:28:32.351448,0 days 00:00:01.666731,32,1000000,0.98,0.0004640645849550552,10000,0.4709184182905757,medium,0.08,1,PRUNED
