,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17695.258156599997,2023-08-17 01:34:42.653346,2023-08-17 01:34:51.135646,0 days 00:00:08.482300,16,1000000,0.98,3.389942152942511e-05,10000,-3.8718984976697124,small,0.001,32,COMPLETE
1,1,,2023-08-17 01:34:42.684235,,,512,100000,0.995,0.00632673775912301,1000,-2.1109601881422293,big,0.01,1,RUNNING
2,2,-17862.3838868,2023-08-17 01:34:51.139647,2023-08-17 01:34:59.582905,0 days 00:00:08.443258,16,1000000,0.999,0.0011653143075770532,10000,0.3096804813037739,big,0.005,64,COMPLETE
3,3,,2023-08-17 01:34:59.585585,,,64,100000,0.99,0.0017805768970762168,1000,-1.3410039098599755,medium,0.08,16,RUNNING
