,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-25006.3340484,2023-08-16 19:59:37.531076,2023-08-16 19:59:46.104826,0 days 00:00:08.573750,64,1000000,0.999,0.00020196630175734514,20000,-1.9510788638893004,big,0.005,128,COMPLETE
1,1,,2023-08-16 19:59:37.532497,,,128,1000000,0.9,0.0013727450643592032,0,-2.892443005514006,medium,0.005,128,RUNNING
2,2,-17383.3165924,2023-08-16 19:59:46.107038,2023-08-16 19:59:52.439897,0 days 00:00:06.332859,16,10000,0.99,0.009516339556885007,20000,-1.4493903396389194,big,0.02,32,COMPLETE
3,3,-33944.4435604,2023-08-16 19:59:52.440994,2023-08-16 20:00:05.596169,0 days 00:00:13.155175,256,1000000,0.98,0.12416738663529994,10000,0.08720973471170446,big,0.02,1,COMPLETE
4,4,,2023-08-16 20:00:05.598020,,,256,1000000,0.9999,0.0001560952466613875,1000,0.6276146782957994,small,0.001,256,RUNNING
