,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17884.7732262,2023-08-17 00:46:02.331457,2023-08-17 00:46:05.488188,0 days 00:00:03.156731,512,10000,0.9999,0.00010920874026650074,10000,-3.588171908559469,big,0.005,8,COMPLETE
1,1,,2023-08-17 00:46:02.332599,,,16,10000,0.98,0.00040282664671552657,10000,-2.459350939684349,medium,0.08,1,RUNNING
2,2,-17863.022772,2023-08-17 00:46:05.489908,2023-08-17 00:46:08.146817,0 days 00:00:02.656909,64,1000000,0.995,0.358141736793132,20000,0.830644391964567,big,0.08,256,COMPLETE
3,3,,2023-08-17 00:46:08.148284,,,16,10000,0.9999,1.3284129270652065e-05,1000,-2.3725766914789936,big,0.02,16,RUNNING
