,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-40931.2363708,2023-08-16 19:51:37.025682,2023-08-16 19:52:02.615652,0 days 00:00:25.589970,64,10000,0.9,0.00015134133843002284,20000,-1.8806098525693526,medium,0.005,1,COMPLETE
1,1,-17538.5369766,2023-08-16 19:51:37.027241,2023-08-16 19:51:46.715818,0 days 00:00:09.688577,16,10000,0.9999,0.0031816680755585814,20000,-0.6435848931630037,medium,0.001,32,COMPLETE
2,2,-17736.322393399998,2023-08-16 19:51:46.717057,2023-08-16 19:52:10.993596,0 days 00:00:24.276539,2048,10000,0.98,5.357604947948368e-05,10000,-0.8774668026802042,medium,0.01,128,COMPLETE
3,3,,2023-08-16 19:52:02.617081,,,512,1000000,0.98,5.732591393437526e-05,0,-2.471975865339108,big,0.08,4,RUNNING
4,4,-19229.3286244,2023-08-16 19:52:10.995295,2023-08-16 19:52:45.263181,0 days 00:00:34.267886,1024,100000,0.98,0.15754935648908808,10000,-2.8656965569100086,big,0.005,256,COMPLETE
5,5,-5947.431303,2023-08-16 19:52:45.264715,2023-08-16 19:52:53.734403,0 days 00:00:08.469688,32,100000,0.95,0.0014696091406068202,20000,-3.928395442395396,small,0.005,16,COMPLETE
6,6,,2023-08-16 19:52:53.735690,,,256,100000,0.999,0.15008006383815845,0,-0.7065226992676701,small,0.08,256,RUNNING
