,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17780.2661492,2023-08-16 19:31:36.293108,2023-08-16 19:31:39.877086,0 days 00:00:03.583978,512,100000,0.995,0.00011100865541214939,0,-1.1472733959539547,small,0.02,64,COMPLETE
1,1,-18333.376625,2023-08-16 19:31:36.297397,2023-08-16 19:31:36.934649,0 days 00:00:00.637252,64,10000,0.9999,0.06066707507673656,1000,-3.6607885356017316,medium,0.001,32,COMPLETE
2,2,-17430.0860894,2023-08-16 19:31:36.936499,2023-08-16 19:31:37.373424,0 days 00:00:00.436925,16,10000,0.99,0.7452524082712579,1000,-3.895068074207602,big,0.02,32,COMPLETE
3,3,-43679.65157280001,2023-08-16 19:31:37.374604,2023-08-16 19:31:39.486489,0 days 00:00:02.111885,64,1000000,0.95,0.2042669857834516,20000,-2.7954636173706624,big,0.02,512,COMPLETE
4,4,-18286.938478400003,2023-08-16 19:31:39.488445,2023-08-16 19:31:40.357137,0 days 00:00:00.868692,1024,100000,0.9999,0.0007194478036268798,1000,0.7429451919568271,medium,0.02,32,COMPLETE
5,5,-18618.6298278,2023-08-16 19:31:39.878194,2023-08-16 19:31:40.489954,0 days 00:00:00.611760,512,100000,0.99,0.7250181553367152,20000,0.014097403123558117,medium,0.01,16,COMPLETE
6,6,-15271.501678800001,2023-08-16 19:31:40.358252,2023-08-16 19:31:41.722214,0 days 00:00:01.363962,2048,10000,0.99,0.02061146039611528,1000,-2.256686182742992,big,0.05,1,COMPLETE
7,7,-15722.678132199999,2023-08-16 19:31:40.491799,2023-08-16 19:31:42.551340,0 days 00:00:02.059541,64,1000000,0.99,0.0017667454054199148,1000,-3.6969659153441965,medium,0.08,8,COMPLETE
8,8,,2023-08-16 19:31:41.727980,,,128,1000000,0.99,0.31394196225636056,10000,-3.8312160286648447,big,0.05,1,RUNNING
9,9,,2023-08-16 19:31:42.553175,,,512,100000,0.99,0.0012304436325003285,1000,0.30775321422250634,big,0.08,512,RUNNING
