,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-18632.7829328,2023-08-16 20:07:43.766656,2023-08-16 20:07:45.107090,0 days 00:00:01.340434,128,1000000,0.99,0.03514982951112781,1000,-3.1980499513012344,small,0.02,4,COMPLETE
1,1,-18340.4582762,2023-08-16 20:07:43.768299,2023-08-16 20:08:07.381346,0 days 00:00:23.613047,1024,100000,0.9999,0.00015779343806820518,0,-1.8348545533521534,small,0.02,256,COMPLETE
2,2,-17840.9052366,2023-08-16 20:07:45.108229,2023-08-16 20:07:45.990115,0 days 00:00:00.881886,16,100000,0.98,0.001228922021247167,20000,-0.6736528836015312,small,0.001,128,COMPLETE
3,3,-17907.9499558,2023-08-16 20:07:45.991912,2023-08-16 20:07:47.064753,0 days 00:00:01.072841,512,1000000,0.995,0.011536002849859799,20000,0.46283490807539795,big,0.05,4,COMPLETE
4,4,-18350.984480599996,2023-08-16 20:07:47.065868,2023-08-16 20:07:48.102282,0 days 00:00:01.036414,1024,10000,0.9999,0.3976555878168096,10000,-0.32027884234604453,small,0.01,32,COMPLETE
5,5,-18260.8140324,2023-08-16 20:07:48.103546,2023-08-16 20:09:51.603550,0 days 00:02:03.500004,2048,10000,0.999,0.8660707212243752,0,-2.504276822861655,medium,0.05,128,COMPLETE
6,6,-18350.3751244,2023-08-16 20:08:07.382596,2023-08-16 20:08:20.788274,0 days 00:00:13.405678,128,100000,0.995,0.61557740996538,0,-3.251877506384107,small,0.02,128,COMPLETE
7,7,-20019.0885644,2023-08-16 20:08:20.789973,2023-08-16 20:08:22.663332,0 days 00:00:01.873359,128,10000,0.98,0.0002648310356985369,20000,-2.9030081396366185,medium,0.001,32,COMPLETE
8,8,-33015.031592600004,2023-08-16 20:08:22.665599,2023-08-16 20:08:25.844386,0 days 00:00:03.178787,16,1000000,0.99,0.020932764453668668,10000,0.657627703933791,small,0.005,4,COMPLETE
9,9,-17982.2568962,2023-08-16 20:08:25.845983,2023-08-16 20:09:16.316119,0 days 00:00:50.470136,256,100000,0.95,0.13844976218366445,0,-3.6624587058150757,big,0.02,1,COMPLETE
10,10,-18516.6514632,2023-08-16 20:09:16.317683,2023-08-16 20:09:17.377171,0 days 00:00:01.059488,64,10000,0.98,0.2820321053773557,10000,-0.662520154426856,big,0.05,512,COMPLETE
11,11,-18322.957240199998,2023-08-16 20:09:17.379914,2023-08-16 20:09:30.965178,0 days 00:00:13.585264,16,100000,0.95,9.823092520424453e-05,0,-0.9217646569361992,small,0.001,128,COMPLETE
12,12,-18140.6437676,2023-08-16 20:09:30.966714,2023-08-16 20:09:32.090163,0 days 00:00:01.123449,1024,100000,0.98,0.0003383243294375572,20000,-1.208872451717113,small,0.001,128,COMPLETE
13,13,-22071.5743562,2023-08-16 20:09:32.091535,2023-08-16 20:09:33.383637,0 days 00:00:01.292102,32,1000000,0.995,0.5875839408191069,20000,-0.12403690086773222,big,0.05,4,PRUNED
14,14,-27238.970871000005,2023-08-16 20:09:33.384508,2023-08-16 20:09:36.857331,0 days 00:00:03.472823,16,1000000,0.995,0.0009414282754317256,20000,0.5614638597830761,big,0.05,4,PRUNED
15,15,-18222.4746744,2023-08-16 20:09:36.858279,2023-08-16 20:09:39.933151,0 days 00:00:03.074872,512,1000000,0.98,0.0044236295805109675,10000,0.18262513322253193,big,0.05,4,COMPLETE
16,16,-18466.8164574,2023-08-16 20:09:39.934219,2023-08-16 20:09:41.109797,0 days 00:00:01.175578,512,1000000,0.9999,0.002960200144831767,20000,-0.559697831974078,big,0.05,8,PRUNED
17,17,-18412.0709516,2023-08-16 20:09:41.111837,2023-08-16 20:09:57.035943,0 days 00:00:15.924106,16,100000,0.98,0.00802950192216832,0,-0.4898556644613194,small,0.001,256,PRUNED
