,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-18408.060958199996,2023-08-16 12:53:29.328266,2023-08-16 12:53:48.219974,0 days 00:00:18.891708,128,100000,0.99,0.0007858366735936694,0,-2.0063959701154745,big,0.05,512,COMPLETE
1,1,-18568.907921600003,2023-08-16 12:53:29.329208,2023-08-16 12:53:30.062769,0 days 00:00:00.733561,1024,10000,0.9,0.009994880960244269,1000,-2.4303063436202046,small,0.001,256,COMPLETE
2,2,-17653.6829682,2023-08-16 12:53:30.064765,2023-08-16 12:53:30.814736,0 days 00:00:00.749971,2048,1000000,0.999,0.0023112980983166363,10000,-1.0846713159955694,medium,0.01,256,COMPLETE
3,3,-25474.8606134,2023-08-16 12:53:30.828749,2023-08-16 12:53:33.008667,0 days 00:00:02.179918,512,100000,0.98,0.20923503954265016,10000,-1.4538605682716632,big,0.05,32,COMPLETE
4,4,-18108.0149488,2023-08-16 12:53:33.009846,2023-08-16 12:53:38.795363,0 days 00:00:05.785517,32,10000,0.999,0.17154838739007755,0,0.38496568278424004,small,0.08,1,COMPLETE
5,5,-17699.5882894,2023-08-16 12:53:38.796424,2023-08-16 12:53:39.589428,0 days 00:00:00.793004,32,10000,0.999,0.0006046462887110401,20000,-2.586964368658462,medium,0.08,1,COMPLETE
6,6,-18517.8106968,2023-08-16 12:53:39.590516,2023-08-16 12:53:40.159169,0 days 00:00:00.568653,1024,1000000,0.995,5.462979265190827e-05,10000,-2.4879490776654576,small,0.001,512,COMPLETE
7,7,-18089.9188276,2023-08-16 12:53:40.160180,2023-08-16 12:53:40.888707,0 days 00:00:00.728527,64,1000000,0.995,4.885939506878007e-05,10000,-2.9411206508983874,medium,0.02,256,COMPLETE
8,8,-18431.295650000004,2023-08-16 12:53:40.889943,2023-08-16 12:53:41.554554,0 days 00:00:00.664611,32,10000,0.999,0.00018951283321225602,1000,-1.3407750312730933,big,0.01,512,COMPLETE
9,9,-37904.8135856,2023-08-16 12:53:41.556265,2023-08-16 12:53:43.048551,0 days 00:00:01.492286,64,100000,0.999,0.0014018234210577893,10000,-3.83074355759641,medium,0.001,8,COMPLETE
10,10,,2023-08-16 12:53:43.049687,,,16,10000,0.95,0.014699182998296654,0,-1.6847393054695967,big,0.01,256,RUNNING
