,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-15209.6028308,2023-08-17 00:45:43.993590,2023-08-17 00:45:46.220981,0 days 00:00:02.227391,64,10000,0.995,9.225668484824682e-05,20000,-0.3114479283483065,medium,0.005,64,COMPLETE
1,1,-17675.116321799997,2023-08-17 00:45:43.994311,2023-08-17 00:45:45.555727,0 days 00:00:01.561416,2048,1000000,0.95,0.0046086677974333775,10000,-0.3711410207813568,small,0.001,64,COMPLETE
2,2,,2023-08-17 00:45:45.556945,,,128,1000000,0.999,0.048162454596544495,10000,-0.3956166156778629,small,0.08,1,RUNNING
3,3,,2023-08-17 00:45:46.222382,,,16,10000,0.9,0.9791338487319219,0,0.3867137358523687,big,0.02,1,RUNNING
