,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17996.803819400004,2023-08-17 02:07:19.247373,2023-08-17 02:07:38.543396,0 days 00:00:19.296023,256,10000,0.9,0.07306419121980025,0,-0.9181724276752532,medium,0.001,1,COMPLETE
1,1,-6801.5712060000005,2023-08-17 02:07:19.248705,2023-08-17 02:07:21.538731,0 days 00:00:02.290026,2048,100000,0.9999,0.004963843497264986,1000,-0.6401445158788182,small,0.005,32,COMPLETE
2,2,-17458.5476972,2023-08-17 02:07:21.540634,2023-08-17 02:07:22.239666,0 days 00:00:00.699032,2048,10000,0.9999,0.020971085534110295,20000,-2.8939575011595458,big,0.001,512,COMPLETE
3,3,-17557.6719832,2023-08-17 02:07:22.241351,2023-08-17 02:07:23.189198,0 days 00:00:00.947847,16,10000,0.9999,0.4766619279072596,10000,-0.6143873018779011,small,0.02,1,COMPLETE
4,4,-21973.1176386,2023-08-17 02:07:23.190448,2023-08-17 02:07:23.972725,0 days 00:00:00.782277,1024,100000,0.999,3.8645633078110185e-05,10000,-2.5639634720575986,small,0.001,16,COMPLETE
5,5,-5130.0317828,2023-08-17 02:07:23.973697,2023-08-17 02:07:26.143440,0 days 00:00:02.169743,1024,10000,0.98,0.07558098726982905,1000,0.08375091573617688,medium,0.01,256,COMPLETE
6,6,-17750.0675314,2023-08-17 02:07:26.144476,2023-08-17 02:07:26.851350,0 days 00:00:00.706874,2048,10000,0.999,1.7017139164086667e-05,20000,-1.0081761703179208,big,0.001,4,COMPLETE
7,7,-18045.9461276,2023-08-17 02:07:26.852557,2023-08-17 02:07:27.582217,0 days 00:00:00.729660,16,1000000,0.999,0.20416159608363277,10000,-2.594228811223379,big,0.005,128,COMPLETE
8,8,-17473.213519200002,2023-08-17 02:07:27.583401,2023-08-17 02:07:36.489515,0 days 00:00:08.906114,512,1000000,0.98,4.266221778838436e-05,0,-0.8216702611484998,small,0.005,256,COMPLETE
9,9,-16975.609834000003,2023-08-17 02:07:36.491536,2023-08-17 02:07:37.022652,0 days 00:00:00.531116,64,100000,0.9999,0.00048193836498778447,20000,0.1534749677089895,big,0.005,64,COMPLETE
10,10,,2023-08-17 02:07:37.023868,,,512,10000,0.9,0.00021082231487461715,0,-0.33945872535434995,small,0.08,256,RUNNING
11,11,,2023-08-17 02:07:38.544600,,,2048,10000,0.98,0.014030965194557817,1000,-0.3161370560568189,medium,0.02,256,RUNNING
