,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17914.132017,2023-08-16 20:00:57.763857,2023-08-16 20:01:08.890867,0 days 00:00:11.127010,2048,10000,0.99,3.541011405829571e-05,20000,-3.346299098019799,big,0.08,4,COMPLETE
1,1,-17505.939483000002,2023-08-16 20:00:57.764614,2023-08-16 20:01:16.928974,0 days 00:00:19.164360,32,100000,0.995,0.005665996548955678,10000,-2.748302171923207,small,0.08,1,COMPLETE
2,2,,2023-08-16 20:01:08.891918,,,64,100000,0.9,0.0067461670613369155,0,-3.5678783528620586,small,0.08,64,RUNNING
3,3,-17709.2849418,2023-08-16 20:01:16.930070,2023-08-16 20:01:28.483867,0 days 00:00:11.553797,1024,10000,0.999,0.003993061995750853,10000,-2.52753584858819,small,0.005,1,COMPLETE
4,4,-32056.884706200002,2023-08-16 20:01:28.485034,2023-08-16 20:01:41.977467,0 days 00:00:13.492433,512,1000000,0.95,0.002870471229108903,20000,-2.9616025336650806,big,0.005,1,COMPLETE
5,5,,2023-08-16 20:01:41.978559,,,1024,10000,0.99,0.07816111380392297,1000,-3.496516315070218,big,0.02,32,RUNNING
