,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-17649.2493042,2023-08-17 02:23:26.046476,2023-08-17 02:23:30.218107,0 days 00:00:04.171631,2048,1000000,0.95,9.651349004279262e-05,20000,-1.2360599722396062,medium,0.001,1,COMPLETE
1,1,-34430.452091,2023-08-17 02:23:26.049303,2023-08-17 02:23:31.354917,0 days 00:00:05.305614,1024,10000,0.95,0.0005085604956717055,1000,-1.3839320680971223,medium,0.08,128,COMPLETE
2,2,,2023-08-17 02:23:30.222190,,,256,100000,0.98,0.007582251922998984,0,-0.7151188675152791,big,0.01,512,RUNNING
3,3,-23106.187398000002,2023-08-17 02:23:31.356282,2023-08-17 02:23:33.610149,0 days 00:00:02.253867,512,10000,0.99,0.04352114984477464,1000,-1.0474722965616787,medium,0.01,512,COMPLETE
4,4,-17127.386734399995,2023-08-17 02:23:33.611385,2023-08-17 02:23:35.146962,0 days 00:00:01.535577,2048,1000000,0.995,0.0009957821720064325,20000,-2.1314661895206184,medium,0.05,4,COMPLETE
5,5,,2023-08-17 02:23:35.148408,,,16,100000,0.995,3.20060600341662e-05,10000,-3.770273987528451,small,0.05,512,RUNNING
