,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-221227.6825958,2023-09-27 08:25:14.433149,2023-09-27 08:37:37.055821,0 days 00:12:22.622672,64,10000,0.9999,0.00024275851510066694,small,0.37457534790201363,normal,0.05,256,COMPLETE
1,1,-243336.79550419998,2023-09-27 08:25:14.438399,2023-09-27 08:33:36.374822,0 days 00:08:21.936423,128,100000,0.98,0.0752313901710133,medium,0.8217016043160165,,0.08,4,COMPLETE
2,2,-220417.52584299998,2023-09-27 08:33:36.376748,2023-09-27 08:55:15.281601,0 days 00:21:38.904853,32,1000000,0.9999,1.0175257866484528e-05,small,0.8859306448080853,normal,0.005,64,COMPLETE
3,3,-346952.7927802,2023-09-27 08:37:37.057998,2023-09-27 09:02:50.160655,0 days 00:25:13.102657,2048,10000,0.99,0.0003127587695825485,big,0.11631812757486515,,0.005,32,COMPLETE
4,4,-218060.2891084,2023-09-27 08:55:15.284183,2023-09-27 09:18:39.153061,0 days 00:23:23.868878,100,100000,0.9999,0.010735415238573813,small,0.5006398741168354,normal,0.08,64,COMPLETE
5,5,-223421.6275064,2023-09-27 09:02:50.162504,2023-09-27 09:27:12.265157,0 days 00:24:22.102653,32,100000,0.99,0.023112120946444666,medium,0.4231317538751298,normal,0.001,128,COMPLETE
6,6,-239397.65618619998,2023-09-27 09:18:39.154890,2023-09-27 09:42:21.920510,0 days 00:23:42.765620,2048,10000,0.95,0.004242393520110465,big,0.6125897940750876,,0.02,256,COMPLETE
7,7,-239831.35290119998,2023-09-27 09:27:12.266973,2023-09-27 09:53:10.076967,0 days 00:25:57.809994,100,1000000,0.999,0.0967740007080328,small,0.40441981001548366,ornstein-uhlenbeck,0.005,512,COMPLETE
8,8,-233793.24778179996,2023-09-27 09:42:21.922375,2023-09-27 10:07:27.083996,0 days 00:25:05.161621,256,1000000,0.9999,0.008932222489914278,big,0.8172222194683839,,0.02,512,COMPLETE
9,9,-47575.604499600006,2023-09-27 09:53:10.078986,2023-09-27 10:19:05.373125,0 days 00:25:55.294139,2048,100000,0.9999,0.00027626240156241027,big,0.43000996657115953,ornstein-uhlenbeck,0.01,256,COMPLETE
10,10,-177988.3409292,2023-09-27 10:07:27.086313,2023-09-27 10:35:02.360436,0 days 00:27:35.274123,512,100000,0.995,0.007221782804431039,small,0.052522427885250744,,0.08,32,COMPLETE
11,11,-171715.6305802,2023-09-27 10:19:05.375592,2023-09-27 10:46:34.135316,0 days 00:27:28.759724,2048,1000000,0.995,0.003242982659313304,big,0.5584964799783191,ornstein-uhlenbeck,0.01,256,COMPLETE
