total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 17:53:14.203383,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 17:53:14.257686,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 17:53:14.313321,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 17:53:14.371452,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 17:53:14.438403,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 17:53:14.493793,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 17:53:14.560159,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 17:53:14.617943,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 17:53:14.675702,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 17:53:14.730989,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 17:53:14.842976,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,0.49714795,1,-0.47906938,0.06372552340647697,7.303326743414145,73.13112521844461,9.587504721928875,-0.14860882340903284,0.05744200704516411
12,1,1,2023-09-28 17:53:14.897710,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,0.30490014,1,-0.47712818,0.061121751302690513,7.308360702814799,72.26094458135918,9.471376486099999,-0.14855096180672647,0.057152699033632286
13,1,2,2023-09-28 17:53:14.953643,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,0.17679498,0.8938522934913635,-0.26509592,-0.04810840722993967,7.519539009311217,35.75622559975417,4.599711415544691,-0.14612362495044579,0.04501601475222893
14,1,3,2023-09-28 17:53:15.008990,[0.04276526 0.6446786  0.26343775],-6.0,10.0,0.18748629,0.9597117304801941,-0.10392627,-0.10975998567246925,7.638732060966774,15.152268084260779,1.8500510170078721,-0.14475358987394513,0.038165839369725646
15,1,4,2023-09-28 17:53:15.063290,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,0.11954135,1,-0.33884928,-0.0027719835398483383,7.43188859017704,50.90765839698269,6.621715912122765,-0.1471311010324478,0.05005339516223908
16,1,5,2023-09-28 17:53:15.119222,[0.06858599 0.09552944 0.10823774],-6.0,10.0,0.13668784,1,-0.31496692,-0.013364726727991105,7.452367893674117,47.367563623505376,6.1492795659315975,-0.146895706739378,0.04887642369688988
17,1,6,2023-09-28 17:53:15.174150,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,-0.07238069,1,-0.31222162,-0.016481728797941214,7.4583940976760195,46.325861531728044,6.010261273611823,-0.1468264400267124,0.04853009013356209
18,1,7,2023-09-28 17:53:15.228932,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,-0.06417155,1,-0.49152613,0.06427918311378478,7.302256334646683,73.31615829262688,9.612197944874803,-0.1486211269580841,0.057503524790420535
